direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"PASEO LA LUNA 455,  Fraccionamiento Solares, Zapopan",2.42,1.99,7.17
"Calle del Carmen 694,  Fraccionamiento Campo Real, Zapopan",2.43,2.26,8.85
"Camichines No. 2790, Rinconada Vallarta, Condominio Rincon de los Naranjos  Int. 79-1, 45010, Zapopan, Jal.,  Ciudad Granja, Zapopan",2.35,0.96,7.95
"Priv. Inglaterra 4800, Vigusa,  Vigusa, Zapopan",2.66,1.85,6.26
"A las praderas #2422,  El Centinela, Zapopan",2.38,1.97,6.7
"Av Santa margarita 4950,  Fraccionamiento Valle Esmeralda, Zapopan",2.82,0.39,5.63
"Agustin Lara 54,  La Estancia, Zapopan",0.33,2.85,8.55
"Avenida Madeiras 261,  Nuevo Mexico, Zapopan",2.69,2.32,6.37
"Calle Av. Natura Casa 19 Coto Privanza Senda,  Fraccionamiento Solares, Zapopan",2.42,1.99,7.17
"Condominio coto 4 Antonio Ma bucarelli,  Virreyes Residencial, Zapopan",2.72,0.36,6.67
"Calle Orion 3013,  La Calma, Zapopan",2.12,2.13,11.34
"Sendero de los Encinos  40,  Puerta de Hierro, Zapopan",1.82,0.95,4.18
"Antara casa 69,  Fraccionamiento Solares, Zapopan",2.54,1.24,8.21
"De las Orquideas 1180,  Girasoles Elite, Zapopan",1.58,2.36,3.83
"paseo de las camelias 2140,  Fraccionamiento Bugambilias, Zapopan",2.23,1.38,15.38
"Av. Lorenzo Barcelata 510,  Ciudad Bugambilia, Zapopan",0.94,2.17,14.9
"Paseo de Los Encinos Norte Coto C 513,  Villas de Zapopan, Zapopan",1.53,2.27,2.65
"AV. PARQUE VIRREYES 625,  Parque Virreyes Residencial, Zapopan",1.67,0.65,6.38
"Yahualica 4672,  Benito Juarez, Zapopan",1.93,1.49,5.11
"paseo de los virreyes 871,  Virreyes Residencial, Zapopan",2.93,0.48,6.5
"E-7,  Fraccionamiento Los Olivos Residencial, Zapopan",2.42,0.88,8.96
"Camichines 2790,  Ciudad Granja, Zapopan",2.35,0.96,7.95
"Naciones Unidas #-59 Parque de la castellana, Zapopan,  Virreyes Residencial, Zapopan",1.67,0.65,6.38
"Av. Universidad 2662, Fracc. Puerta Las Lomas, 45110 Zapopan, Jal.,  Zapopan, Jalisco",2.37,2.58,5.68
"AV. VALLARTA 2701,  Fraccionamiento Los Suenos, Zapopan",1.46,1.5,6.26
"San Nicolas de Bari 560,  12 de Diciembre, Zapopan",2.59,2.16,7.54
"Lluvia 6,  Condominio Puerta Plata, Zapopan",2.15,0.99,4.25
"Jade 3358,  La Giralda, Zapopan",1.93,1.79,9.44
"eucalipto vallarta 45020,  La Estancia, Zapopan",1.44,2.95,7.3
"San Juan de Los Lagos 2098, Hogares de Nuevo Mexico, Zapopan, Jal. CP 45138,  Hogares de Nuevo Mexico, Zapopan",2.63,1.39,5.42
"Calle Ganaderos No. 5052,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.6,1.92,8.22
"Johannes Brahams 520,  La Estancia, Zapopan",0.71,2.49,8.53
"Segunda Norte 5121,  Fraccionamiento Chapalita de Occidente, Zapopan",1.88,1.36,8.78
"Av. Juan Palomar y Arias 370,  Puerta de Hierro, Zapopan",1.96,1.41,4.5
"Paseo Solares  100 32,  Conjunto Zapopan, Zapopan",0.02,0.79,6.8
"Santa Rosa de Lima  4428,  Fraccionamiento Camino Real, Zapopan",2.74,1.77,7.16
"Palmera 287,  Paraisos Del Colli, Zapopan",2.04,0.92,10.58
"Isaac Newton 4176,  Arboledas , Zapopan",0.21,2.34,12.02
"Av. Juan Palomar y Arias 1249,  Vallarta Universidad, Zapopan",2.97,2.4,5.74
"Av. Universidad 600,  Vallarta Universidad, Zapopan",1.7,1.06,4.4
"Av. Quinta del Bosque 220,  Fraccionamiento Quintas del Bosque, Zapopan",1.95,0.33,3.18
"Paseo Solares 1333,  Fraccionamiento Solares, Zapopan",2.31,1.41,8.23
"Valle de los Zenzontles 2665,  Jardines del Valle, Zapopan",2.61,0.42,5.51
"Solares Althea 1177,  Fraccionamiento Solares, Zapopan",2.63,1.22,8.27
"Soare 3 Coto Altanza,  Fraccionamiento Solares, Zapopan",1.63,2.22,8.95
"Dante Alighieri 402,  Vallarta Universidad, Zapopan",2.13,0.35,6.47
"Calle paseo del norte 3430,  Fraccionamiento Solares, Zapopan",2.47,2.09,9.23
"av. d 575,  Fraccionamiento Valle Imperial, Zapopan",1.29,0.93,7.29
"AVENIDA LORENZO BARCELATA 510  COTO SANTA FE,  Fraccionamiento Bugambilias, Zapopan",0.94,2.17,14.89
"Antiguo camino a Copalita  2771,  Fraccionamiento Villas Del Valle, Zapopan",1.48,1.31,8.25
"Circuito del bosque 183,  Bosques Vallarta, Zapopan",2.99,1.81,9.03
"PASEO DEL DROMEDARIO 148 LOTE 6,  Ciudad Bugambilia, Zapopan",1.54,1.55,16.7
"Arco Druso 1812,  Arcos de Zapopan, Zapopan",0.59,0.57,2.09
"Calle Volcan Popocatepetl 5367 6,  El Colli Urbano, Zapopan",1.19,0.94,10.57
"AV BOSQUES DE SAN ISIDRO 777,  Las Canadas, Zapopan",1.81,3,5.79
"avenida universidad 2705,  Fraccionamiento Puerta Las Lomas, Zapopan",1.81,2.7,5.94
"Paseo de los Lagos 9,  Las Canadas, Zapopan",1.9,1.14,5.88
"Av. kinich ahua 4851,  Mirador Del Sol, Zapopan",2.79,0.43,9.32
"av. de los leones 56,  Ciudad Bugambilia, Zapopan",1.86,0.99,16.05
"Jardin de la calandria 70,  Fraccionamiento Jardin Real, Zapopan",2.62,0.7,5.24
"GUSTAVO PENA 1361,  Paseos del Sol, Zapopan",1.16,1.99,11.38
"Volcan Etna #2725,  Colli C.T.M., Zapopan",0.85,0.92,10.44
"Cvln. Sur 132, Las Fuentes, 45070 Zapopan, Jal.,  Las Fuentes, Zapopan",0.74,1.49,12.89
"Circuito del Centinela 230,  Lomas Del Centinela, Zapopan",2.53,0.99,3.86
"PASEO DE LOS PINABETES 1480,  Jardines de La Esperanza, Zapopan",0.28,1.66,3.12
"Aguilar Figueroa 55,  Loma Bonita, Zapopan",1.98,1.66,10.68
"Villa Juarez 1384,  Francisco Sarabia, Zapopan",1.29,2.71,14.09
"General Ignacio L. Pesqueira 492,  Constitucion, Zapopan",0.6,1.84,2.7
"Av. Universidad 1151, El Secreto , Puerta de Hierro, Zapopan,  Puerta de Hierro, Zapopan",1.02,1.89,5.21
"Robert Shuman 5043,  La Estancia, Zapopan",1.5,2.19,8
"Paseo de la Estrella 3555,  Bosques Vallarta, Zapopan",2.06,2.32,9.34
"Privada Circuito de la Calma Sur 805 141,  Conjunto Zapopan, Zapopan",2,1.62,6.46
"Acueducto 2746,  Jardines del Valle, Zapopan",2.63,0.43,4.73
"Av Atardecer 1527, Centinela I, 45133 Zapopan, Jal,  El Centinela, Zapopan",2.07,1.31,3.77
"Paseo del Bosque  Casa 27 Coto Castanos,  Los Robles, Zapopan",0.26,1.98,17
"LOMAS DEL BOSQUE 2700 INT. 14,  Lomas Del Bosque, Zapopan",0.81,0.57,2.8
"Jardines de Marbella 169,  Fraccionamiento Valle Imperial, Zapopan",2.13,1.8,7.35
"Paseo de la Canada 167,  Lomas del Valle, Zapopan",1.54,0.84,5.27
"C. Prado de Los Olivos 1243, Prados Tepeyac, Zapopan, Jal.,  Prados Tepeyac, Zapopan",0.42,1.26,8.59
"Calle Volcan Popocatepetl 5367 - 6,  El Colli Urbano, Zapopan",1.19,0.94,10.57
"Rosario Castellanos 6149,  Villa Universitaria, Zapopan",0.68,1.86,4.95
"AV FEDERALISTAS 1670-19,  Rinconadas de las Palmas, Zapopan",0.8,1.69,2.76
"Av paseo de la cantera 406,  Benito Juarez, Zapopan",0.51,0.38,6.8
"Calle Pedro Moreno 64,  La Primavera, Zapopan",0.05,0.33,18.22
"Circuito del Bosque 490,  Bosques Vallarta, Zapopan",2.78,1.92,9.12
"Maples 1 Int. 89,  Fraccionamiento Valle Imperial, Zapopan",1.61,1.27,7.25
"Av Las Palmas 200,  Villa Coral, Zapopan",0.84,1.39,1.98
"Avenida Ganaderos de Jalisco 440 337,  Conjunto Zapopan, Zapopan",1.59,2.01,9.54
"Avenida F 5250 82,  Conjunto Zapopan, Zapopan",0.4,0.44,6.62
"Calle Paseo de la Realeza 120,  Fraccionamiento Real Del Bosque, Zapopan",1.14,1.98,2.71
"SOARE 2 COTO II,  Fraccionamiento Solares, Zapopan",1.49,2.06,8.65
"Prolongacion Rio Blanco  al 1600,  Fraccionamiento Los Almendros, Zapopan",1.88,2.7,3.19
"Avenida Mariano Otero 5151,  Arboledas , Zapopan",0.59,1.95,11.63
"Lomas Verdes #2032,  Lomas de Atemajac, Zapopan",1.23,2.29,3.47
"COTO ALAMO 141,  Fraccionamiento Valle Imperial, Zapopan",1.64,1.37,7.83
"Avenida Paseo de la Cantera 765,  Fraccionamiento Valle Imperial, Zapopan",0.12,0.09,7.07
"Calle Prado de los Cedros 1049,  Zapopan, Jalisco",1.43,1.16,9.77
"Av. Juan Gil Preciado 8555,  Zapopan, Jalisco",0.72,2.59,10.22
"Jaime Gonzalez Ramirez 4492,  Lomas de Guadalupe, Zapopan",2.36,2.11,7.63
"Prol. Rio Blanco 1676, Los Almendros,  Fraccionamiento Los Almendros, Zapopan",2.52,1.71,4.22
"av Guadalajara 1085, jardines del valle, zapopan,, jalisco,  Jardines del Valle, Zapopan",2.84,0.43,5.47
"AV. PASEO DE LA CANTERA 406,  Fraccionamiento Pontevedra, Zapopan",0.51,0.38,6.8
"CRUZ DEL SUR 4454,  La Calma, Zapopan",0.25,1.36,11
"Avenida Universidad 600,  Puerta de Hierro, Zapopan",2,0.84,4.16
"Cerrada del Zapote 60,  Parques Del Tepeyac, Zapopan",2.4,2.27,10.66
"Paseo Lomas Altas al 3800,  Lomas Altas, Zapopan",0.99,1.26,5.58
"Avenida Paseo de la Cantera #200 - 8, Hogares de Nuevo Mexico, Zapopan,  Hogares de Nuevo Mexico, Zapopan",0.31,0.7,6.6
"Avenida Paseo de los Robles Norte 295 M6,  Los Robles, Zapopan",0.77,1.9,16.74
"Avenida General Ramon Corona 2500,  La Mojonera, Zapopan",1.01,2.58,9.1
"Camino a Santa Ana Tepetitlan 1500,  Fraccionamiento Villas Del Ixtepete, Zapopan",1.19,2.82,14
"Paseo del Nte. 100,  Bosques Vallarta, Zapopan",2.71,0.23,11.09
"Casa 1,  Fraccionamiento Valle Imperial, Zapopan",2.88,2.58,7.66
"Avenida Jacarandas 744 2,  Jacarandas, Zapopan",0.69,1.84,1.61
"Corona Boreal 3751,  Arboledas , Zapopan",0.73,2.37,11.97
"Volcan Momotombo 1551,  12 de Diciembre, Zapopan",2.88,1.25,10.47
"av del bosque #60,  Ayamonte, Zapopan",2.54,2.7,10.3
"RIO BLANCO 1900,  Mision de San Isidro, Zapopan",2.59,1.79,4.35
"Duque #257,Jardin Real, Zapopan,  Valle Real, Zapopan",2.66,1,5.06
"Soare 3 coto altanza,  Fraccionamiento Solares, Zapopan",1.63,2.22,8.95
"san antonio 68,  Las Fuentes, Zapopan",0.77,1.4,12.85
"Av Guadalupe 6357,  Plaza Guadalupe, Zapopan",1.33,2.46,9.73
"cuarta poniente 653,  Jardines de Nuevo Mexico, Zapopan",0.26,0.54,7.85
"AV. LAURELES 247,  El Vigia, Zapopan",0.66,2.97,0.44
"Aurora Boreal 3896,  Arboledas , Zapopan",0.47,2.55,12.2
"Av del Sendero 5442,  Zapopan, Jalisco",2.11,0.16,15.88
"Av Guadalajara Sur 887,  Jardines del Valle, Zapopan",2.35,1.07,5.57
"Paseo San Arturo Poniente 1284,  Valle Real, Zapopan",0.53,0.64,6.59
"AV. GENERAL RAMON CORONA # 2748,  Fraccionamiento Los Olivos Residencial, Zapopan",2.4,1.31,7.39
"Fraccionamiento Valle Imperial C.p. 45134, Zapopan, Jalisco.,  Fraccionamiento Valle Imperial, Zapopan",1.85,1.51,7.26
"Egipcios 316,  Altamira, Zapopan",0.3,2.62,1.92
"Naciones Unidas 4838,  Jardines Universidad, Zapopan",2.95,2.56,5.68
"Circunvalacion Norte  13,  Las Fuentes, Zapopan",0.36,2.7,12.37
"Avenida de la Cima 296,  Fraccionamiento La Cima, Zapopan",1.79,2.69,4.89
"CIRCUITO DEL BOSQUE 208,  Bosques Vallarta, Zapopan",0.28,1.8,9.02
"Tepito 1219, COLLI SITIO, Zapopan, Jalisco,  Colli Sitio, Zapopan",1.95,2.09,10.17
"PJC8+7JH Zapopan, Jalisco, Mexico,  Seattle, Zapopan",0.53,2.22,1.23
"Boulevard Valle Imperial 83,  Conjunto Zapopan, Zapopan",1.61,1.27,7.25
"PASEO DEL NORTE 3735,  Bosques Vallarta, Zapopan",2.67,0.25,10.93
"vizcaya 1652,  Las Alamedas, Zapopan",1.43,2.19,11.64
"Av. Paseo del Nte. 3322, Parques vallarta, 45222 Zapopan, Jal,  Nuevo Mexico, Zapopan",2.57,1.94,9.09
"hipico 205,  Verde Valle, Zapopan",2.19,0.69,8.68
"El Carmen 282,  Fraccionamiento Camino Real, Zapopan",2.85,1.61,6.99
"Av. Torremolinos 434 - 130,  Francisco Villa, Zapopan",0.57,1.47,2.48
"Altanza 343,  Fraccionamiento Solares, Zapopan",1.76,2.17,8.99
"LORENZO BARCELATA 281,  Ciudad Bugambilia, Zapopan",0.89,2.15,14.99
"Fuente 2 Copas 5150 1126,  Condominio Chapalita las Fuentes, Zapopan",2.13,1.03,9.26
"Calle San Gabriel 665,  Chapalita Oriente, Zapopan",0.65,1.43,7.13
"Villa Juarez 1701 29,  Santa Ana Tepetitlan, Zapopan",0.8,2.69,14.36
"Avenida San Luis Gonzaga 4996,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.98,1.81,8.09
"Parque 300, Villas de los Belenes, Zapopan,  Villa de los Belenes, Zapopan",0.87,2.81,2.16
"Avenida Doctor Angel leano 1305,  Fraccionamiento La Cima, Zapopan",2.24,2.88,4.29
"PASEO LOMAS DEL BOSQUE 2851 INT. 7,  Lomas Del Bosque, Zapopan",0.79,0.61,2.75
"Chichen-Itza 432 Jardines del Sol, Zapopan, Jalisco,  Jardines Del Sol, Zapopan",0.46,0.67,9.11
"Paseo Solares #1333,  Fraccionamiento Solares, Zapopan",2.31,1.41,8.23
"Circuito Valle de San Isidro No. 145 Coto Savia,  Fraccionamiento Valle de San Isidro, Zapopan",1.37,1.88,2
"Jardin de los Granados Este 44,  Fraccionamiento Jardin Real, Zapopan",0.38,1.16,5.53
"Av. Ramon Corona No. 1500,  Fraccionamiento Arauca, Zapopan",2.12,1.39,7.79
"Av tepeyac 6596,  Residencial Plaza Guadalupe, Zapopan",2.01,2.29,10.32
"P.o Solares 2175, Solares Residencial,  Valle Real, Zapopan",2.27,1.43,8.21
"Avenida Piotr Ilich Tchaikovski 512,  La Estancia, Zapopan",0.5,2.66,8.67
"AVENIDA SANTA MARGARITA 4050,  Novaterra, Zapopan",1.99,0.46,4.79
"Av. Paseo del Carnero # 5, Casa 11, Villa 5 San Andres, Fraccionamiento Bugambilias 2da seccion en Zapopan,Jalisco,  Fraccionamiento Bugambilias, Zapopan",2.17,1.4,15.51
"Aztlan 1240,  El Briceno, Zapopan",0.63,2.85,13.46
"Avenida Lorenzo Barcelata 510,  Fraccionamiento Bugambilias, Zapopan",0.94,2.17,14.9
"Av. Acueducto 5151, Puerta de Hierro, 45116,  Puerta de Hierro, Zapopan",0.77,0.37,3
"av del bosque 60 , Ayamonte, Zapopan,  Ayamonte, Zapopan",2.54,2.7,10.3
"Circuito del Lince norte 3435,  Fraccionamiento Bugambilias, Zapopan",1.75,2.76,15.25
"AV NUEVA GALICIA 260,  Nueva Galicia, Zapopan",1.29,1.81,18.18
"Mision San Antonio #6143 -8,  Hacienda Del Tepeyac, Zapopan",1.65,1.91,9.73
"Volcan Jorullo 6061,  Colli C.T.M., Zapopan",2.84,1.47,10.58
"Av. Valle de San Isidro 1285,  San Isidro, Zapopan",1.81,2.67,3.31
"Calle de la Pradera 2404 Praderas del Centinela,  El Centinela, Zapopan",2.57,0.9,3.82
"FELIPE RUVALCABA 5710,  Paseos del Sol, Zapopan",0.87,1.55,10.95
"circuito lince norte 3462,  Ciudad Bugambilia, Zapopan",1.64,2.68,15.2
"Av. Guadalajara 3743,  Nuevo Mexico, Zapopan",0.56,2.52,5.77
"AV. F  5250,  Fraccionamiento Valle Imperial, Zapopan",0.4,0.44,6.62
"Av. Universidad 2662, Fracc. Puerta Las Lomas,  Zapopan, Jal.,  Fraccionamiento Puerta Las Lomas, Zapopan",2.37,2.58,5.68
"valle del cobre 2801-b,  Jardines del Valle, Zapopan",2.85,0.31,5.16
"Paseo de Los Avellanos 2993,  Tabachines, Zapopan",0.61,2.03,2.65
"Av del Sendero 5442,  Fraccionamiento Campestre Los Robles, Zapopan",2.11,0.16,15.88
"Solares-coto 6,  Fraccionamiento Solares, Zapopan",2.52,1.06,4.98
"CTO. DE LAS FLORES ORIENTE 2092,  Fraccionamiento Bugambilias, Zapopan",2.28,1.41,15.3
"Avenida Inglaterra 5811,  Fraccionamiento Jardines Vallarta, Zapopan",2.04,0.43,6.61
"Economos 5248,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.55,1.99,8.19
"Calle Circuito Madrigal 1971,  Colinas de San Javier, Zapopan",2.05,1.18,3.62
"Giovanni Panini 268,  Vallarta Universidad, Zapopan",2.34,2.37,6.35
"Av. Acueducto 2424, Jardines del Valle, 45138 Zapopan, Jal.,  Jardines del Valle, Zapopan",2.36,2.9,4.43
"Av. P.o de los Emperadores 400,  Fraccionamiento Valle Imperial, Zapopan",1.37,1.01,7.3
"Francisco Villa 2274,  Santa Ana Tepetitlan, Zapopan",1.28,1.69,14.25
"Avenida Central 1081 interior 35,  Parque de La Castellana, Zapopan",0.77,1.68,3.67
"Prol. Mariano Otero 108,  Zapopan, Jalisco",2.18,1.41,15.51
"Wolfgang Amadeus Mozart 5559,  La Estancia, Zapopan",0.85,2.95,7.88
"PASEO DE SAN ARTURO 910,  Valle Real, Zapopan",0.2,0.93,6.35
"Av. Acueducto 5300,  Fraccionamiento Zotogrande, Zapopan",0.46,0.71,2.68
"Paseo de Los Nisperos 1229,  Tabachines, Zapopan",0.72,1.83,2.87
"PENA ARANDA 1211,  Las Alamedas, Zapopan",1.43,2.19,11.64
"VISTA A LA PRIMAVERA 7,  La Primavera, Zapopan",2.47,1.22,10.09
"Prolongacion Av Vallarta #2701,  Rancho Contento, Zapopan",0.18,1.67,8.88
"Paseo Altanza 2170,  Fraccionamiento Solares, Zapopan",1.52,2.31,9.04
"SANTA TERESA DE JESUS 840,  Ciudad de los ninos, Zapopan",2.98,1.83,7.87
"AV. PIOTRILLICH TCHAIKOVSKY 6249,  Residencial Plaza Guadalupe, Zapopan",1.78,1.67,9.68
"Av. Novelistas 5099,  Jardines Universidad, Zapopan",2.09,2.47,6.63
"Av. Tepeyac 6596Plaza Guadalupe, Exitmex, 45036 Zapopan, Jal.,  Plaza Guadalupe, Zapopan",2.01,2.29,10.32
"Avenida Lorenzo Barcelata 510,  Ciudad Bugambilia, Zapopan",0.94,2.17,14.9
"Av de la Huerta 290 90,  Zapopan, Jalisco",2.5,0.37,15.86
"Prol. Acueducto 3690,  Jardines de Nuevo Mexico, Zapopan",2.35,0.68,5.71
"Calle Ursulo Garcia 5738,  Arcos de Guadalupe, Zapopan",0.57,2.59,8.78
"Paseo San Rafael 2981,  Valle Real, Zapopan",0.24,0.72,6.66
"Av. Tepeyac 5150,  Chapalita Sur, Zapopan",2.13,1.05,9.37
"Agustin Melgar 59,  El Fortin, Zapopan",1.63,1.59,14
"e Volcan Tancittaro # 2198,  El Colli Urbano, Zapopan",0.62,1.59,10.82
"Blvd. Paseo Lomas del Bosque 4389,  Lomas Del Bosque, Zapopan",0.76,0.73,2.64
"Naciones Unidas 6754 Casa 15-a, Virreyes, Zapopan, Jalisco,  Virreyes Residencial, Zapopan",2.76,0.15,6.83
"Paseo Valle Real 3000,  Valle Real, Zapopan",2.42,0.89,5.36
"San Felipe 21,  Valle Real, Zapopan",2.21,0.27,5.07
"Av. Paseo de los Emperadores 400,  Fraccionamiento Valle Imperial, Zapopan",0.23,2.94,7.49
"Calle Margarita 31,  Nuevo Mexico, Zapopan",2.29,2.91,4.34
"Paseo Altanza 2170 6,  Residencial Patria, Zapopan",1.52,2.31,9.04
"Tonallan 3865,  Ciudad Del Sol, Zapopan",0.92,1.76,8.3
"Av. Laureles 264,  El Vigia, Zapopan",0.69,0.99,0.61
"Calle Margaritas 92 C,  Nuevo Mexico, Zapopan",0.66,0.97,8.57
"Avenida D 5035,  Fraccionamiento Valle Imperial, Zapopan",0.15,0.68,6.43
"Jaime Nuno 4401,  Los Pinos Campestre, Zapopan",1.2,1.96,14.72
"Av paseo de la cantera 702, casa 28,  Nuevo Mexico, Zapopan",0.14,0.06,6.92
"Frederick Chopin 5329,  La Estancia, Zapopan",1.03,2.57,8.02
"Av. Camino de los Parques #3880,  San Isidro, Zapopan",1.54,1.97,4.94
"Calle de las Margaritas 92,  Nuevo Mexico, Zapopan",0.62,1,8.41
"Av. de la Mancha 293 Int 247,  Fraccionamiento La Cima, Zapopan",1.11,1.52,3.01
"Club Oro 691,  Auditorio, Zapopan",0.78,1.16,3.93
"P.o de la Estrella 3555,  Fraccionamiento Solares, Zapopan",2.42,1.99,7.17
"Av. Universidad 600, calle puerta del sol #115,  Jardines Universidad, Zapopan",2.12,0.71,4.02
"Platino al 2800,  Fraccionamiento Residencial Victoria, Zapopan",1.63,2,9.67
"Av. Paseo de la Cantera 765,  Fraccionamiento Valle Imperial, Zapopan",0.12,0.09,7.07
"La Pradera int 17,  Royal Country, Zapopan",1.99,1.28,4.57
"Mision de Santo Tomas 809,  Plaza Guadalupe, Zapopan",1.51,2.52,9.94
"Av. Paseos del Bosque 2851,  Atlas Colomos, Zapopan",1.26,1.33,3.53
"av rio Blanco 1900,  Rio Blanco, Zapopan",2.87,2.03,4.6
"Avenida Torremolinos 3535, Cipres,  Fraccionamiento Canadas de San Lorenzo, Zapopan",1.16,1.85,3.22
"Prolongacion Rio Blanco 4100, Fraccionamiento Colinas Del Centinela, Zapopan,  Fraccionamiento Colinas Del Centinela, Zapopan",2.3,1.32,3.89
"Paseo de Monte Carlo 2749,  Valle Real, Zapopan",0,1.13,6.16
"paseo del torreon 1683 int 1553,  Colinas de San Javier, Zapopan",2.12,2.11,3.48
"Av Paseo de la Estrella 3587,  Fraccionamiento Solares, Zapopan",2.04,2.32,9.33
"Paseo Royal Country 5395,  Royal Country, Zapopan",2.16,1.03,4.29
"P.o Solares 45019,  Fraccionamiento Solares, Zapopan",2.33,1.38,8.17
"Avenida Acueducto 1100,  Girasoles Elite, Zapopan",1.68,2.51,3.97
"LEON TOLSTOI 5374,  Vallarta Universidad, Zapopan",2.34,2.98,6.24
"Calle Palmira 1237,  Fraccionamiento Valle Imperial, Zapopan",1.74,1.49,7.94
"paseo de la ardilla 4912,  Ciudad Bugambilia, Zapopan",2.17,1.4,15.51
"Av. Rio Blanco 1676,  Altavista Residencial, Zapopan",2.52,1.72,4.22
"Guardia Nacional 3070 int 3,  El Fortin, Zapopan",2,2.01,14.18
"Jardines del Palacio Real 1921,  Fraccionamiento Valle Imperial, Zapopan",2.74,2.43,7.63
"Av. de la Cima 575,  Fraccionamiento La Cima, Zapopan",1.59,2.61,4.95
"Remanso de las Nochebuenas 214,  Fraccionamiento Bugambilias, Zapopan",2.35,1.55,15.32
"Av. Valdepenas 8469,  Fraccionamiento Real de Valdepenas, Zapopan",1,1.88,2.97
"Av. Paseo del Anochecer 964,  Fraccionamiento Solares, Zapopan",1.73,1.88,8.58
"Jardin de las Victorias Sur 143,  Fraccionamiento Jardin Real, Zapopan",2.82,0.96,5.35
"Blv De San Isidro Sur #1615,  Las Canadas, Zapopan",2.42,1.99,7.17
"Rio Blanco 1900,  Rio Blanco, Zapopan",2.87,2.03,4.6
"Oyamel Poniente 147,  El Fortin, Zapopan",2.34,0.6,14.46
"Fraccion 5,  Colinas de La Primavera, Zapopan",2.29,2.41,12.95
"Paseo de los Pinabetes 21,  Tabachines, Zapopan",0.33,1.62,3.14
"Paseo Lomas Altas 3800,  Lomas del Valle, Zapopan",1.81,2.52,4.71
"Rio Cuitzamala 5781,  Las Aguilas, Zapopan",1.21,2.74,12.21
"Paseo Royal Country 5505 casa 40,  Royal Country, Zapopan",2.19,1.15,4.38
"Calle Palmira 1236 Int 10,  Fraccionamiento Valle Imperial, Zapopan",1.84,1.6,8.04
"Av. Paseo Solares 1333,  Fraccionamiento Solares, Zapopan",2.31,1.41,8.23
"Puerta las Lomas int e16,  Fraccionamiento Puerta Las Lomas, Zapopan",2.36,2.52,5.64
"Coto Carrara int 245,  Fraccionamiento Valle Imperial, Zapopan",0.93,0.56,7.33
"Lorenzo Barcelata 4690, Los Pinos,  Campestre los Pinos, Zapopan",1.17,2.1,14.6
"Bosque del Centinela 1,  Fraccionamiento Bosques Del Centinela , Zapopan",1.62,2.6,2.51
"PASEO DE LA ESTRELLA 3652,  Fraccionamiento Solares, Zapopan",1.99,2.46,9.46
"Paseo de la Canada 3650,  Lomas del Valle, Zapopan",1.15,2.7,5.32
"Circulacion del Menhir 545,  Altamira, Zapopan",0.46,2.28,1.96
"Av. Guadalajara 3743, Capital Nte,  Nuevo Mexico, Zapopan",0.56,2.52,5.77
"Coto las Flores casa 11,  Valle Real, Zapopan",0.42,0.71,5.91
"Argenta Residencial 35,  Fraccionamiento La Cima, Zapopan",2.64,1.84,4.38
"Paseos del Bosque 1333,  El Fortin, Zapopan",2.14,2.95,14.64
"P.o Lluvia De Oro 1165,  Fraccionamiento Rinconada Del Parque, Zapopan",0.71,1.19,9.15
"Casa en Tolov 4866, Col. Mirador del Sol, Zapopan, Jalisco,  Zapopan, Jalisco",2.75,0.47,9.31
"Calle Pino 68,  Jardines de La Primavera, Zapopan",2.18,1.81,11.77
"Carrara 4,  Fraccionamiento La Cima, Zapopan",1.35,1.75,3.26
"Paseo del Arroyo 2045,  Colinas de San Javier, Zapopan",0.94,1.39,3.16
"Del Cura 304,  La Moraleja, Zapopan",2.42,1.99,7.17
"Avenida Xochitl 3724,  Ciudad Del Sol, Zapopan",1.16,1.79,8.59
"Mision San Francisco #3692, Residencial Chapalita, Zapopan,  Chapalita Oriente, Zapopan",0.51,0.85,6.63
"Av. Universidad 2662,  Fraccionamiento Puerta Las Lomas, Zapopan",2.36,2.52,5.64
"Av. Bosque Real #1996,  Fraccionamiento Valle Imperial, Zapopan",2.12,1.84,7.8
"AV. PARQUE JUAN DIEGO 4041,  Ciudad de los ninos, Zapopan",0.75,1.95,7.85
"De Los Abetos 317,  Los Pinos, Zapopan",1.5,0.78,5.83
"Parque Juan Diego 543,  Ciudad de los ninos, Zapopan",0.78,1.94,7.84
"Coto Vitana 303 int D68,  Altavista Residencial, Zapopan",2.47,1.66,4.47
"Av. Juan Palomar y Arias 1300,  Jardines Universidad, Zapopan",1.14,2.18,5.52
"Calle Margarita 32,  Nuevo Mexico, Zapopan",0.63,1,8.41
"C. Esparta 250,  Loma Blanca, Zapopan",0.71,2.33,1.63
"Los Almendros 1,  Fraccionamiento La Cima, Zapopan",1.35,1.75,3.26
"Av. Mariano Otero 5151,  Arboledas , Zapopan",0.59,1.95,11.63
"12 de Diciembre 217,  Chapalita Sur, Zapopan",0.77,2.34,7.99
"Av. Paseo de la Cantera 406 int 45,  Fraccionamiento Valle Imperial, Zapopan",0.51,0.38,6.8
"Calle las Margaritas 92,  Nuevo Mexico, Zapopan",0.62,1,8.41
"Venero 114,  Fraccionamiento Solares, Zapopan",1.61,0.61,4.25
