direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Oyamel Norte 524,  Fraccionamiento Oyamel, Zapopan",2.37,2.94,14.43
"Av Naciones Unidas 6655,  Virreyes Residencial, Zapopan",2.62,0.16,6.93
"CIRCUITO DEL BOSQUE 143, bosques vallarta, zapopan,  Bosques Vallarta, Zapopan",0.29,1.88,9.1
"Privada Inglaterra 4800,  Jardines de La Patria, Zapopan",2.66,1.85,6.26
"Soare 3 - Coto Altanza,  Fraccionamiento Solares, Zapopan",1.63,2.22,8.95
"av conchitas 2848,  Loma Bonita, Zapopan",1.24,2.21,10.54
"Boboli 23,  El Fortin, Zapopan",2.06,1.7,13.8
"Remanso de las Acacias #109, Fraccionamiento Bugambilias, Zapopan,  Fraccionamiento Bugambilias, Zapopan",2.39,1.55,15.23
"Valle del Maguey 1718,  Jardines del Valle, Zapopan",2.36,0.7,4.66
"Paseo de la Estrella # 3652,  Bosques Vallarta, Zapopan",1.99,2.46,9.46
"Residencial Parque Virreyes 625,  Virreyes Residencial, Zapopan",1.67,0.65,6.38
"Quetzalcoatl 410,  Ciudad Del Sol, Zapopan",1.3,1.8,8.78
"Av. Paseo de la Cantera 200, Capital Norte, 45134 Zapopan, Jal,  Hogares de Nuevo Mexico, Zapopan",0.31,0.7,6.6
"Av. Campo Principes 519, Campo Real, 45134 Nuevo Mexico, Jal.,  Nuevo Mexico, Zapopan",2.19,2.06,8.82
"Valle de San Marcos 2394,  Jardines del Valle, Zapopan",2.99,0.44,5.38
"av cubilete 139,  Chapalita Sur, Zapopan",0.97,2.17,8.22
"Bajada de las aguilas 1364,  Lomas del Valle, Zapopan",1.28,2.23,4.8
"Jardines de tours 127 coto sueco,  Fraccionamiento Valle Imperial, Zapopan",2.21,1.86,7.03
"CIRCUITO MADRIGAL 2345,  Colinas de San Javier, Zapopan",1.92,1.1,3.72
"Circuito del Lince 3237,  Fraccionamiento Bugambilias, Zapopan",0.94,2.48,15.6
"calle talavaera 1056,  Lomas de Zapopan, Zapopan",0.4,1.06,1.9
"PASEO ROYAL COUNTRY    5395,  Royal Country, Zapopan",2.16,1.03,4.29
"C. Eca Do Queiros 5063,  Jardines Universidad, Zapopan",0.3,2.28,5.48
"Isaac Newton 4039,  Arboledas , Zapopan",0.33,2.43,12.1
"Av. Camino de Los Parques 3326,  San Isidro, Zapopan",2.98,1.22,4.19
