direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Juan N Cumplido 123,  Americana, Guadalajara",1.95,1.75,1.24
"Isla del Coco 2057,  Fraccionamiento Jardines de La Cruz, Guadalajara",1.05,1.02,6.5
"Calle 8 2037,  La Joyita, Guadalajara",2.03,2.98,7.33
"Avenida Acueducto 1829,  Fraccionamiento Colinas de San Javier, Guadalajara",1.07,1.6,5.4
"SIERRA MORENA 322 INDEPENDENCIA, GUADALAJARA JALISCO,  Independencia, Guadalajara",1.45,2.03,2.18
"felix palavicini 1962,  Fraccionamiento Jardines Alcalde, Guadalajara",2.7,0.41,1.89
"Manuel Puga y Acal 1857,  Olimpica, Guadalajara",1.69,0.42,4.98
"Oviedo 2614,  Santa Elena Alcalde Poniente, Guadalajara",1.08,0.12,2.87
"Calle Luis Perez Verdia 5113,  Ladron de Guevara, Guadalajara",0.49,2.02,2.79
"Calle Francisco Indalecio Madero 607,  Guadalajara Centro, Guadalajara",1.6,1.2,1.52
"Justo Sierra 1863,  Ladron de Guevara, Guadalajara",2.76,2.89,1.92
"Mar caspio 1976,  Fraccionamiento Lomas Del Country, Guadalajara",2.17,1.12,2.27
"Torno 1278,  Unidad habitacional Lazaro Cardenas, Guadalajara",1.99,1.76,6.67
"Heriberto Jara 185,  Fraccionamiento Jardines Alcalde, Guadalajara",2.52,0.57,1.7
"Pablo villasenor 0,  Ladron de Guevara, Guadalajara",1.12,2.04,3.24
"Avenida de los Maestros 576,  Alcalde Barranquitas, Guadalajara",1.53,2.06,1.09
"Avenida Acueducto 1848,  Fraccionamiento Colinas de San Javier, Guadalajara",1.03,1.54,5.43
"Volcan Toliman 5957,  Colonia Huentitan El Bajo, Guadalajara",1.63,1.05,7.1
"Rio de la Plata 2480,  Fraccionamiento Colomos Providencia, Guadalajara",2.11,0.56,3.73
"Av La Paz 2102, col. Lafayette, Guadalajara, Jal 44150,  Lafayette, Guadalajara",2.64,0.52,2.61
"Pablo Valdez No. 3758,  San Joaquin, Guadalajara",1.49,2.31,7.63
"C. ISLA MADEIRA 00 JARDINES DE LA CRUZ GUADALAJARA JALISCO,  Fraccionamiento Jardines de La Cruz, Guadalajara",1.09,1.1,6.35
"Av. Lopez Mateos 170,  Vallarta Poniente, Guadalajara",1.84,1.33,4.32
"12 de Diciembre #2829 Jardines de Plaza Del Sol, Guadalajara,  Fraccionamiento Jardines de Plaza Del Sol, Guadalajara",1.52,2.72,5.62
"av pablo neruda 3382,  Fraccionamiento Colinas de San Javier, Guadalajara",1.88,2.33,4.77
"Puerto Escondido 483,  Monumental, Guadalajara",2.42,1.91,2.93
"Juan Alvafrez 877,  Barrio Capilla de Jesus, Guadalajara",1.72,1.77,0.58
"C. Aldama 1522,  Medrano, Guadalajara",1.31,0.28,4.42
"Nudo de Cempoaltepec 604,  San Marcos, Guadalajara",0.64,1.63,4.11
"Chamizal 302,  San Andres, Guadalajara",1.98,1.1,5.74
"Francisco Javier clavijero 481,  1 de Mayo, Guadalajara",0.88,1.09,4.97
"Federico Medrano 3127,  San Rafael, Guadalajara",0.94,2.6,6.84
"Juan Palomar y Arias 124,  Vallarta Poniente, Guadalajara",1.66,0.68,4.53
"Panfilo Natera 4401,  Lomas Del Paraiso, Guadalajara",1.59,1.15,5.05
"Bogota 2918,  Providencia 4a Secc, Guadalajara",1.32,1.14,3.93
"La Cauda 943,  Jardines del Bosque, Guadalajara",1.75,2.78,4.28
"Manuel M. Ponce 1999,  Santa Cecilia, Guadalajara",2.19,1.98,6.42
"MEXICALZINGO 1657,  Americana, Guadalajara",1.62,2.18,2.36
"C. Maria Uribe 580,  Guadalajara, Jalisco",0.85,1.53,7.99
"Lapizlazuli 2772,  Fraccionamiento Residencial Victoria, Guadalajara",1.12,2.64,6.76
"Angulo 2859,  Fraccionamiento Terranova, Guadalajara",1,1.1,4.02
"Morelos  871,  Barrio Capilla de Jesus, Guadalajara",1.8,1.52,1.33
"rinconada santa rita 468,  Monraz, Guadalajara",2.05,0.55,5.15
"MINAS DEL SUR 529,  5 de Mayo, Guadalajara",1.56,0.93,6.58
"Valparaiso  2612,  Providencia, Guadalajara",1.59,0.39,3.5
"Pedro Espinoza 1108,  Guadalupana, Guadalajara",1.48,2.91,2.31
"jorullo 1922,  Independencia, Guadalajara",0.85,1.25,3.26
"C. Benigno Lopez 47,  Guadalajara, Jalisco",1.91,1.83,7.89
"ROBLES GIL 376-A,  Americana, Guadalajara",1.92,2.26,2.22
"Nogal1268,  Del Fresno, Guadalajara",2.32,1.07,3.74
"Ramirez Carlota 678,  Insurgentes , Guadalajara",0.96,1.25,8.28
"barranquilla # 2872,  Fraccionamiento Colomos Providencia, Guadalajara",0.41,1.08,4.28
"Compostela 1873,  Fraccionamiento Chapultepec Country, Guadalajara",1.86,1.32,1.89
"ISLA TAZMANIA 2027,  1 de Mayo, Guadalajara",1.05,0.99,6.61
"Isla Cozumel 3109,  Fraccionamiento Residencial La Cruz, Guadalajara",1.2,1.19,6.32
"Americas 96,  Fraccionamiento Ladron de Guevara, Guadalajara",1.26,2.71,2.57
"HACIENDA DEL CABEZON 1722,  Circunvalacion Oblatos, Guadalajara",1.44,0.86,4.9
"Plateros 2458,  Fraccionamiento Jardines del Country, Guadalajara",0.66,1.28,3.31
"HDA LA CANDELARIA #2280,  Unidad habitacional Plutarco Elias Calles , Guadalajara",1.56,1.25,6.97
"JACARANDAS  38,,  Country Club, Guadalajara",1.13,0.76,3.07
"Granate 2499,  Bosques de La Victoria, Guadalajara",1.97,2.5,6.21
"Av. Manuel Avila Camacho 2659,  Country Club, Guadalajara",0.64,1.1,3.58
"Calle Puerto la Paz 94,  Monumental, Guadalajara",2.72,1.59,3.02
"FLORENCIA #2288,  Fraccionamiento Italia Providencia, Guadalajara",0.88,1.14,2.5
"Gomez de Mendiola 1038,  Penal, Guadalajara",0.55,1.12,5.06
"Calle Juan Alvarez 2358,  Fraccionamiento Ladron de Guevara, Guadalajara",0.47,1.81,2.66
"SAN GABRIEL 665,  Chapalita, Guadalajara",0.65,1.43,5.22
"Maria Salcedo 842,  Electricistas, Guadalajara",1.54,0.52,6.3
"Los Arcos 688,  Jardines del Bosque, Guadalajara",2.21,2.04,4.17
"OPOCHTLI #4826,  Nueva Espana, Guadalajara",2.05,1.87,8.98
"Pizarra 2071, Guadalajara, Jal.,  Fraccionamiento Residencial Victoria, Guadalajara",1.18,2.51,6.85
"BRUNO MORENO 000,  Fraccionamiento Jardines Alcalde, Guadalajara",0.48,0.61,2.56
"Granate 2499,  Fraccionamiento Verde Valle, Guadalajara",1.97,2.5,6.21
"Alfonso Reyes 643,  Colinas de La Normal, Guadalajara",1.88,2.41,1.29
"BILBAO 2522,  Santa Maria Oriente, Guadalajara",0.92,0.53,1.33
"Avenida Manuel Acuna 2704,  Ladron de Guevara, Guadalajara",0.42,2,3.48
"San Heriberto 2801,  Fraccionamiento Jardines de Plaza Del Sol, Guadalajara",1.58,2.83,5.68
"Jose Guadalupe Aguilera 2235,  Beatriz HernAndez, Guadalajara",1.46,1.68,7.32
"Calle Circuito Madrigal 1640,  Fraccionamiento Colinas de San Javier, Guadalajara",1.12,1.71,5.35
"Hacienda La Punta 1897,  Circunvalacion Oblatos, Guadalajara",1.57,0.49,5.25
"Avenida Terranova 617,  Prados de Providencia, Guadalajara",0.69,1.93,3.79
"Calle Ottawa 1051,  Fraccionamiento Italia Providencia, Guadalajara",0.62,1.09,3.02
"POMPEYA 2764,  Lomas de Guevara, Guadalajara",0.53,1.4,3.43
"juan jimenez mendez 13,  Lazaro Cardenas Sur, Guadalajara",2.84,1.85,8.45
"Av Manuel Acuna 2704,  Providencia 1a Secc, Guadalajara",0.42,2,3.48
"Calle Gonzalo Curiel 443,  Alcalde Barranquitas, Guadalajara",1.37,1.95,1.25
"Calle Prisciliano Sanchez 12,  Guadalajara Centro, Guadalajara",0.9,0.3,1.7
"napoleon 487,  Prados de Providencia, Guadalajara",0.95,2.37,4.01
"560 CALLE IRENE ROBLEDO GARCIA,  Fraccionamiento Santa Elena Alcalde, Guadalajara",0.53,0.71,3.2
"La Luna al 2595,  Jardines del Bosque, Guadalajara",1.97,2.2,4.46
"3447 Av. Cristobal Colon,  Lomas de Polanco, Guadalajara",1.09,0.96,6.95
"941 Universo,  Jardines del Bosque, Guadalajara",1.55,2.73,4.08
"1633 Tabachin,  Del Fresno, Guadalajara",2.01,1.67,4.27
"2115 Haiti,  Del Sur, Guadalajara",0.92,0.53,1.33
"Isla Mona al 3000,  Fraccionamiento Jardines de La Cruz, Guadalajara",1.95,1.98,5.47
"2136 Uruguay,  Del Sur, Guadalajara",0,0,7782.9
"Calle Aldama 1522,  Magana, Guadalajara",1.31,0.28,4.42
"300 RAFAEL CARDENAS,  Lomas Del Paraiso, Guadalajara",1.34,1.38,5.36
"Rafael Martinez 2223,  Alcalde Barranquitas, Guadalajara",2.95,0.93,2.59
"Otranto 2610 Providencia, Guadalajara,  Providencia, Guadalajara",0.71,1.06,3.27
"Puerto Pichilingue al 916,  Circunvalacion Belisario, Guadalajara",2.74,1.76,3.37
"Retorno Hacienda de Ecatzingo 29,  Higuerillas, Guadalajara",1.86,0.86,18.18
"Luis  Manuel Rojas al 500,  Fraccionamiento Jardines Alcalde, Guadalajara",2.88,0.78,2.4
"2559 Coral,  Guadalajara, Jalisco",1.6,2.36,6.6
"2057 Jose Maria Rodriguez,  Fraccionamiento Jardines Alcalde, Guadalajara",2.54,1.16,2.2
"565 Hernando Martell,  Sutaj, Guadalajara",1.54,0.56,5.35
"Justo Sierra al 2925,  Fraccionamiento Vallarta Norte, Guadalajara",1.37,1.01,4.18
"561 Enrique Diaz de Leon Norte,  Guadalajara, Jalisco",2.11,2.55,0.88
"Av. Javier Mina 1614,  Penal, Guadalajara",0.9,0.81,4.66
"Cedros  al 500,  Vistas Del Sur, Guadalajara",0.95,1.16,7.54
"Calle Manuel Mena 3743,  Lomas de Polanco, Guadalajara",2.2,2.04,7.14
"Av. Vuelo de las Grullas #200 Esq. con San Agustin, Guadalajara,  Agustin YAnez, Guadalajara",0.62,0.32,1.3
"C. Juan Diaz Covarrubias 578,  La Perla, Guadalajara",0.76,1.19,1.98
"Placeres 616,  Jardines de los Arcos, Guadalajara",2.32,1.58,4.64
"798 ENRIQUE DIAZ DE LEON,  Moderna, Guadalajara",1.21,2.12,2.61
"2423 Calle Fauna,  Fraccionamiento Residencial Victoria, Guadalajara",1.92,0.53,5.58
"2458 C. Efrain Gonzalez Luna,  Arcos Vallarta, Guadalajara",1.86,2.37,3.48
"1140 Cremona,  Guadalajara, Jalisco",1.05,1.35,3.86
"Av Inglaterra 2566-1,  Arcos Vallarta, Guadalajara",2.07,2.22,3.85
"Calle Volcan Cofre de Perote 5787,  Americana, Guadalajara",2.91,1.15,9.47
"Calle Ghilardi 385,  Barrio Santa Teresita, Guadalajara",2.42,2.55,1.36
"Av. Arcos 136,  Arcos Vallarta, Guadalajara",1.62,1.67,3.89
"1510 Gaviota,  Morelos, Guadalajara",1.26,1.5,4.14
"Calle Jaime Nuno 1029,  Villasenor, Guadalajara",2.99,1.58,1.65
"1347 RUBEN DARIO,  Providencia, Guadalajara",1.22,0.77,3.55
"Providencia 3a. Secc, 44630 Guadalajara, Jal,  Guadalajara, Jalisco",1.52,0.44,3.5
"2490 Inglaterra,  Fraccionamiento Los Arcos Sur, Guadalajara",2.15,2.45,3.71
