direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Prol. Colon 155,  Fraccionamiento Los Naranjos Residencial, San Pedro Tlaquepaque",2.15,2.19,13.96
"Fuente Guadalajara 1438  , Villa Fontana , 45615 San Pedro Tlaquepaque, Jalisco, Mexico,  Fraccionamiento Villa Fontana, San Pedro Tlaquepaque",0.1,0.9,10.43
"Olmos 213,  Prados de Santa Maria, San Pedro Tlaquepaque",2.97,1.86,9.68
"emiliano zapapta 455,  Colonial Tlaquepaque, San Pedro Tlaquepaque",1.05,0.61,6.25
"PLAN DE AGUA PRIETA 3263 DEL FRACCIONAMIENTO REVOLUCION, TLAQUEPAQUE, JALISCO,  Fraccionamiento Revolucion, San Pedro Tlaquepaque",2.16,2.74,2.35
"maria mares 1003, parques del nilo, tlaquepaque jalisco,  Tlaquepaque, San Pedro Tlaquepaque",0.56,1.4,2.92
"TUXTLA 1433,  Paisajes del Tesoro, San Pedro Tlaquepaque",1.63,1.54,10.95
"Vista Al Atardecer 1773,  Cerro Del Tesoro, San Pedro Tlaquepaque",1.78,2.06,9.55
"Calle Tamiahua 542,  Lomas de San Pedrito, San Pedro Tlaquepaque",2.99,1.4,2.99
"Juan Escutia 73,  Lopez Cotilla, San Pedro Tlaquepaque",2.94,1.83,9.08
"Calle Fuente Chetumal 888,  Fraccionamiento Villa Fontana, San Pedro Tlaquepaque",0.21,0.89,10.12
"Francisco I Madero 673,  Pueblo Santa Anita, San Pedro Tlaquepaque",0.86,1.37,17.74
"Av. Tierra del Honor Ote. 810  , Terralta , 45594 San Pedro Tlaquepaque, Jalisco, Mexico,  Fraccionamiento Terralta, San Pedro Tlaquepaque",1.25,2.27,6.18
"Hacienda las Moras  1105,  Hacienda de Vidrios, San Pedro Tlaquepaque",2.21,2.67,2.12
"prolongacion colon 175,  Camino Real A Santa Anita, San Pedro Tlaquepaque",2.6,2.08,15.26
"REAL DE BANCOS 116,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.34,2.03,11.21
"Camino real a Colima 357,  Camino Real de Colima, San Pedro Tlaquepaque",2.36,2.64,20.54
"Guinea 705,  Alamo Oriente, San Pedro Tlaquepaque",1.28,2.51,1.43
"avenida de jesus 1122,  Zona comercial Nueva Central Camionera, San Pedro Tlaquepaque",0.51,2.78,9.36
"Plan de Guadalupe 3574,  Fraccionamiento Residencial Revolucion, San Pedro Tlaquepaque",2.12,1.64,2.27
"Av. Las Terrazas 659, Tlaquepaque, Las Terrazas, San Pedro Tlaquepaque, Jal.,  Fraccionamiento Las Terrazas Residencial, San Pedro Tlaquepaque",1.07,0.06,7.49
"PROL GOBERNADOR CURIEL 6047,  Lomas Del 4, San Pedro Tlaquepaque",1.66,1.31,6.49
"C. Cobre 4357, Lomas de La Victoria, San Pedro Tlaquepaque, Jal.,  Lomas de La Victoria, San Pedro Tlaquepaque",0.75,1.94,9.09
"Antigua Carretera a Chapala no. 6135,  Juan de La Barrera, San Pedro Tlaquepaque",1.88,0.33,6.65
"Bosque la Primavera 65, Alamos 4,  Fraccionamiento Los Olivos de Tlaquepaque, San Pedro Tlaquepaque",1.19,2.67,9.97
"Villas San Pablo 751,  San Pedro Tlaquepaque, Jalisco",0.03,1.25,3.17
"Plan de Ayala 3840, fraccionamiento residencial revolucion, Tlaquepaque,  Fraccionamiento Residencial Revolucion, San Pedro Tlaquepaque",1.95,1.55,2.1
"C. Pedro Moreno 753-759, Fraccionamiento Residencial Arrayanes, San Pedro Tlaquepaque, Jal.,  El Cerrito Jaguey, San Pedro Tlaquepaque",1.98,1.74,5.03
"Av Padre Xavier Scheifler de Amezaga 533,  Parque industrial El Bosque , San Pedro Tlaquepaque",2.34,1.38,11.38
"Av. del tesoro 1749,  Cerro Del Tesoro, San Pedro Tlaquepaque",2.09,2.06,9.8
"JARDINES DE MIRAFLORES 1050,  Fraccionamiento Jardines de Miraflores, San Pedro Tlaquepaque",0.61,1.82,9.94
"Sandia 197,  Las Huertas, San Pedro Tlaquepaque",2.68,2.06,2.73
"Av. Tierra del Honor Oriente 810  , Terralta , 45594 San Pedro Tlaquepaque, Jalisco, Mexico,  Fraccionamiento Terralta, San Pedro Tlaquepaque",1.25,2.27,6.18
"Prolongacion Manuel Lopez Cotilla 1201 San  Pedro Tlaquepaque,  Tlaquepaque, San Pedro Tlaquepaque",1.44,0.56,8.09
"AVenida Manuel Lopez Cotilla 761,  Pedregal Del Bosque, San Pedro Tlaquepaque",1.88,0.91,8.44
"JOSE MARIA MORELOS #635,  Tlaquepaque, San Pedro Tlaquepaque",1.92,2.5,10
