direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Circuito Pena de Tapalpa 15,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.17,0.54,11.96
"Calle Matute 309-a. Fracc. La Rioja. Tlajomulco de Zuniga Jal.,  La Rioja, Tlajomulco de Zuniga",2.05,1.56,10.69
"Calle Los Alamitos #8, Coto 6 San Bernardino Col. Fracc. Alta California, Tlajomulco de Zuniga, Jalisco.,  Alta California Residencial, Tlajomulco de Zuniga",0.25,0.01,0.14
"San Oscar 410,  Arboleda Bosques de Santa Anita, Tlajomulco de Zuniga",0.32,2.33,10.81
"Boulevard Bosques de Santa Anita 2377,  Fraccionamiento El Paraiso, Tlajomulco de Zuniga",0.73,0.37,11.99
"Avenida Adan 625,  Fraccionamiento Jardines Del Eden, Tlajomulco de Zuniga",0.33,1.47,11.1
"paseo de la araucarias 7,  Bosques Cedros, Tlajomulco de Zuniga",0.25,0.01,0.14
"Calle Leza 424 10,  Fraccionamiento Del Pilar Residencial, Tlajomulco de Zuniga",2.6,1.11,9.55
"P. DE LOS LAURELES 151,  El Palomar, Tlajomulco de Zuniga",1.13,1.21,12.84
"San Martin #61, Bosques Santa Anita, Tlajomulco de Zuniga,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.8,1.89,10.66
"21 De Marzo 20,  Alameda, Tlajomulco de Zuniga",0.26,0.98,20.78
"Boulevard Alta California45,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.99,5.97
"Prolongacion 5 de Mayo,  Santa Anita, Tlajomulco de Zuniga",0.22,2.09,8.46
"Av. Camino Real a Colima 2990, Bosques de Santa Anita,  Santa Anita, Tlajomulco de Zuniga",1.29,0.9,8.81
"Avenida Nueva Galicia  50 120,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",1.31,1.79,11.14
"Av. Vuelo de las Grullas  int 27, San Agustin,  San Agustin, Tlajomulco de Zuniga",2.3,1.41,8.94
"Galeanas #601,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.54,0.98,10.13
"aldama 181,  Los Gavilanes Poniente, Tlajomulco de Zuniga",1.37,2.21,10.65
"Av. Albazur 205,  Acueducto San Javier, Tlajomulco de Zuniga",0.25,0.01,0.14
"Valle de San Elias 9815-9814,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.11,2.4,11.94
