direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"AV CAMINO REAL A COLIMA 96,  Casa Fuerte, Tlajomulco de Zuniga",2.22,1.16,6.94
"Av Mendoza 188,  Hacienda Santa Fe, Tlajomulco de Zuniga",2.8,0.57,9.48
"PRIV. ENRIQUE LIMON DIAZ 210 INT. 19,  Bosque Real de Santa Anita, Tlajomulco de Zuniga",2.83,0.67,9.75
"Loma de Los Pinos 100,  Fraccionamiento Bosque Real, Tlajomulco de Zuniga",0.55,0.39,11.57
"Puente el Palomar 1060,  Tulipanes, Tlajomulco de Zuniga",1.75,1.26,12.71
"Avenida Lago Maggiore 18,  Fraccionamiento La Arbolada, Tlajomulco de Zuniga",2.82,0.73,9.39
"Avenida Casa Fuerte 239 154,  Casa Fuerte, Tlajomulco de Zuniga",1.15,1.25,7.67
"paseo de las maluas 608,  Campo de Golf Santa Anita Condominio, Tlajomulco de Zuniga",2.91,0.94,10.15
"Ciruena 592,  Los Gavilanes Poniente, Tlajomulco de Zuniga",2.07,1.84,11.03
"Av. Adamar 1185,  Adamar, Tlajomulco de Zuniga",1.59,0.83,7.25
"Camino Real a Colima No. 2980 Casa 18,  Fraccionamiento Real de Santa Anita, Tlajomulco de Zuniga",1.32,0.88,8.88
"BOULEVARD ALTA CALIFORNIA 93,  Lomas de San Agustin, Tlajomulco de Zuniga",2.55,2.98,5.97
"prolongacion 5 de mayo san agustin,  San Agustin, Tlajomulco de Zuniga",1.42,1.45,7.85
"quintanar 0,  La Rioja, Tlajomulco de Zuniga",2.1,1.81,11
"Enrique Limon Diaz #404,  San Agustin, Tlajomulco de Zuniga",2.84,0.92,9.25
"av lopez mateos sur  5550  , Lago Nogal , 45645 Tlajomulco de Zuniga, Jalisco, Mexico,  Lago Nogal, Tlajomulco de Zuniga",1.3,2.2,10.95
"Avenida Adamar Coto 3 30,  Adamar, Tlajomulco de Zuniga",2.12,0.56,6.75
"PROLONGACION MARIANO OTERO 1519,  La Tijera, Tlajomulco de Zuniga",1.13,1.75,11.1
"Camino a las moras 601,  San Agustin, Tlajomulco de Zuniga",2.82,1.53,9.98
"QUINTANAR 0,  La Rioja, Tlajomulco de Zuniga",2.1,1.81,11
"Casuarinas #13, Jardines de San Sebastian, Tlajomulco de Zuniga,  Jardines de San Sebastian, Tlajomulco de Zuniga",2.79,1.6,5.52
"Bulevard Imperial 70,  Alta California Residencial, Tlajomulco de Zuniga",2.72,1.12,5.72
"Paseo de la Montana 347,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.18,2.29,11.5
"AV CAMINO REAL A COLIMA 889,  Fraccionamiento Real de Santa Anita, Tlajomulco de Zuniga",2.6,1.53,9.43
"Blvd. Paseo del Origen 500,  El Ojo de Agua, Tlajomulco de Zuniga",0.65,0.61,11.93
"Vuelo de las Grullas 200,  San Agustin, Tlajomulco de Zuniga",2.42,1.33,9.16
"Paseos del Sol 53,  Lomas de Santa Anita, Tlajomulco de Zuniga",0.37,2.7,5.34
"CLUB DE GOLF SANTA ANITA 1,  Campo de Golf Santa Anita Condominio, Tlajomulco de Zuniga",0.47,1.05,10.23
"Aldama 83,  San Agustin, Tlajomulco de Zuniga",2.07,1,8.24
"Blvd. Senderos de Monte Verde 140-104,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",0.31,1.27,6.11
"Av. Camino Real a Colima 200,San Agustin, Jal.,  Adamar, Tlajomulco de Zuniga",2.12,0.56,6.75
"Allende 100,  Pueblo Cajititlan, Tlajomulco de Zuniga",0.2,0.61,15.29
"Los Limones B12,  Santa Anita, Tlajomulco de Zuniga",0.9,1.3,8.62
"Circuito Recife 172,  Hacienda Santa Fe, Tlajomulco de Zuniga",2.35,0.96,8.67
"boulevard senderos de monte verde 37,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",0.31,1.27,6.11
"av. Adamar 872 int.174,  Adamar, Tlajomulco de Zuniga",1.81,0.58,7.01
"Camino Real a Colima 200,  Adamar, Tlajomulco de Zuniga",2.12,0.56,6.75
"C. 17 de Mayo,  La Tijera, Tlajomulco de Zuniga",1.5,1.58,11.71
"Valle del Verano Pte. 227,  Tlajomulco de Zuniga, Jalisco",2.45,0.54,10.07
"De las Planicies #25,  Fraccionamiento Cortijo de San Agustin, Tlajomulco de Zuniga",1.47,2.56,6.93
"Paseo de la Arboleda 100,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.73,0.8,9.99
"JARDIN DE LOS PENSAMIENTOS 5, FRACCIONAMIENTO JARDINES DE SANTA ANITA,  Jardines de Santa Anita, Tlajomulco de Zuniga",1.93,1.78,8.84
"Paseo Pontevedra 107,  Bosques de Santa Anita, Tlajomulco de Zuniga",2.54,2.42,10.47
"COTO ZAPATA 201,  Adamar, Tlajomulco de Zuniga",1.51,0.9,7.32
"Paseo la Torre 44,  Casa Fuerte, Tlajomulco de Zuniga",1,1.4,7.82
"Guadalupe Victoria 149,  Rancho o rancheria San Sebastian El Grande, Tlajomulco de Zuniga",2.59,0.61,6.87
"Paseo del Agua 287,  El Palomar, Tlajomulco de Zuniga",2.28,2.25,13.61
"Calle prolongacion 5 de mayo 580,  San Agustin, Tlajomulco de Zuniga",1.42,1.55,7.76
"AV. LA ROMANA  222  123 B,  Residencial Provenza, Tlajomulco de Zuniga",2.23,1.27,9.99
"AV VALLE DE LAS FLORES 82,  Fraccionamiento Valle de las Flores, Tlajomulco de Zuniga",1.81,1.16,6.75
"Av. Arbolada de Santa Anita #245,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.58,2.08,10.75
"Av. Real Banus 1000-int 18,  Fraccionamiento Banus, Tlajomulco de Zuniga",0.11,0.26,4.34
"Circuito Los Naranjos 487,  Santa Anita, Tlajomulco de Zuniga",0.97,1.24,8.73
"Loma de los Cedros H22,  Fraccionamiento Bosque Real, Tlajomulco de Zuniga",2.91,2.97,11.09
"Avenida Arbolada Bosques de Santa Anita 25,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.58,2.06,10.61
"Rinconada del Arco 156,  El Palomar, Tlajomulco de Zuniga",1.6,2.02,12.47
"paseo de las galeanas  602,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.58,0.94,10.1
"Circuito Montreal 340,  Fraccionamiento Lomas Del Sur, Tlajomulco de Zuniga",0.17,0.5,4.73
"Calle San Osvaldo 87,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.2,2.88,12.27
"Boulevard Alta California 200,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.98,5.98
"Quintanar 0,  La Rioja, Tlajomulco de Zuniga",2.1,1.81,11
"La Mesa 42 42,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.99,5.97
"Paseo de Las Cumbres 274 L-289,  El Palomar, Tlajomulco de Zuniga",1.81,2.13,12.73
"Retorno de la Laguna  229  , Cielo Contry Club , 45643 Tlajomulco de Zuniga, Jalisco, Mexico,  Cielo Contry Club, Tlajomulco de Zuniga",0.25,0.01,0.14
"Camino a la Loma 42,  Fraccionamiento Cortijo de San Agustin, Tlajomulco de Zuniga",1.65,2.47,6.89
"Circuito san miguel 14 14 Pedregal de San Miguel , 45660 Tlajomulco de Zuniga, Jalisco, Mexico,  Pedregal de San Miguel, Tlajomulco de Zuniga",0.41,1.26,7.4
"AV. CAMINO REAL A COLIMA 445,  La Tijera, Tlajomulco de Zuniga",1.74,2.21,10.81
"Av. Aurora Boreal #89, Paseo de los Agaves,  Jardines de La Calera, Tlajomulco de Zuniga",0.4,0.19,18.88
"Boulevard Senderos de Monte verde #179,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",0.31,1.27,6.11
"Paseo del Castillo 95,  Casa Fuerte, Tlajomulco de Zuniga",1.17,1.27,7.67
"Av. Camino Real a Colima 784, 45640 San Agustin, Jal.,  San Agustin, Tlajomulco de Zuniga",2.74,1.89,7.57
"paseo de los alamos 343,  El Palomar, Tlajomulco de Zuniga",1.89,1.82,13.42
"av vuelo de las grullas 200  , Las Grullas , 45645 Tlajomulco de Zuniga, Jalisco, Mexico,  Bosques de Las Moras, Tlajomulco de Zuniga",2.42,1.33,9.16
"Avenida Moron 204,  Hacienda Santa Fe, Tlajomulco de Zuniga",2.88,0.61,9.41
"calle badaran 703,  La Rioja, Tlajomulco de Zuniga",2.33,1.75,10.97
"Super Nova 320,  Real del Sol, Tlajomulco de Zuniga",1,1.56,8.75
"calle juarez 171,  Cuexcomatlan, Tlajomulco de Zuniga",0.99,0.46,0.89
"Valle Nacional 220,  El Palomar, Tlajomulco de Zuniga",1.04,0.5,13.06
"Valle del Silicio  100,  Coto Nueva Galicia, Tlajomulco de Zuniga",1.14,1.7,11.16
"puerta vieja sur 7 la conchita jardin residencial,  La Concha, Tlajomulco de Zuniga",0.35,1.94,8.11
"Amatista 516,  Fraccionamiento Jardines Del Eden, Tlajomulco de Zuniga",0.46,1.98,11.53
"camino real a colima 1050,  San Agustin, Tlajomulco de Zuniga",1.47,1.03,8.28
"Canada del Tigre 7,  Bosques de Santa Anita, Tlajomulco de Zuniga",0,0.55,11.79
"ANTIGUO CAMINO SAN ISIDRO 551 INT. 36,  Tlajomulco Centro, Tlajomulco de Zuniga",1.49,2.23,8.66
"paseo de los ficus j10,  Bosques Cedros, Tlajomulco de Zuniga",0.51,2.74,11.5
"136 Celajes,  Balcones de La Calera, Tlajomulco de Zuniga",0.78,,19.45
"Privanza Residencial Avenida Camino Real a Colima 200 San Agustin Jalisco Mexico,  San Agustin, Tlajomulco de Zuniga",2.15,0.83,6.83
"Avenida Camino Real a Colima 3002 Hacienda del Oro,  San Agustin, Tlajomulco de Zuniga",1.45,0.98,8.35
"291 Hidalgo,  Tlajomulco de Zuniga, Jalisco",0.49,0.24,0.4
"6236 Alameda punto sur,  Punto Sur, Tlajomulco de Zuniga",1.7,1.91,10.36
"514 Cam. a La Pedrera,  Lomas de San Agustin, Tlajomulco de Zuniga",1.91,1.68,6.48
"Av. Camino Real a Colima 1050, 45645 San Agustin, Jal.,  San Agustin, Tlajomulco de Zuniga",1.47,1.03,8.28
"Coto 8 Nevada, San Marcos,  Tlajomulco de Zuniga, Jalisco",2.76,1.17,5.66
"Valles del Marquez Fraccionamiento Real del Valle al 1100,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.37,1.99,11.39
"Sendero de los Huertos al 100,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",2.91,1.37,6.42
"434 CIRCUITO FASCIA,  Tlajomulco de Zuniga, Jalisco",0.22,0.95,11.22
"44 SAN JUAN,  Pedregal de San Miguel, Tlajomulco de Zuniga",0.25,0.01,0.14
"Valle de San Jose 10154,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.12,1.95,11.52
"100 Calle Vicenza,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.56,0.26,12.01
"Arbucias no. 25,  Fraccionamiento Del Pilar Residencial, Tlajomulco de Zuniga",2.69,1.41,9.36
"san Lucas  36,  Pueblo San Miguel Cuyutlan, Tlajomulco de Zuniga",0.24,1.68,6.67
"225 circuito alba,  Bosques de Santa Anita, Tlajomulco de Zuniga",0,0.55,11.79
"Av. Rio Altara 100,  Fraccionamiento Cortijo de San Agustin, Tlajomulco de Zuniga",2.17,2.51,6.71
"Morelos 950, Residencial San Miguel, 45650 Hacienda San Miguel, Jal.,  Tlajomulco de Zuniga, Jalisco",0.57,2.83,7.84
"Guadalajara-Morelia Km 6.5, Campo de Golf Santa Anita Condominio,  Tlajomulco de Zuniga, Jalisco",2.74,0.71,9.79
"25 Vicenza Residencial,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.74,0.59,12.34
"Avenida Las Flores 8,  Santa Cruz de las Flores, Tlajomulco de Zuniga",1.48,0.33,5.33
"22 loma de los cedros,  Fraccionamiento Bosque Real, Tlajomulco de Zuniga",0.2,0.52,11.22
"193 Fracc. Casa fuerte, coto baluarte,  Fraccionamiento El Alcazar (Casa Fuerte), Tlajomulco de Zuniga",1.08,1.61,7.95
"Paseo de los Guamuchiles 124,  Los Mezquites, Tlajomulco de Zuniga",1.76,1.25,1.92
"15D Circuito Lomas Altas,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.29,2.81,11.36
"23 LOMA DE LOS ENCINOS,  Fraccionamiento Bosque Real, Tlajomulco de Zuniga",0.3,0.48,11.29
"Avenida Camino Real a Colima 2700,  Santa Anita, Tlajomulco de Zuniga",1.22,1.06,8.99
"872 Av. Adamar Traccion 2,  Lomas de San Agustin, Tlajomulco de Zuniga",1.81,0.58,7.01
"Paseo el Fuerte 75,  Casa Fuerte, Tlajomulco de Zuniga",1.6,1,7.31
"550 VILLA MARSELLA,  Tlajomulco de Zuniga, Jalisco",1.74,2.06,11.49
"Senderos de Monte Verde 45646 Tlajomulco de Zuniga,  San Agustin, Tlajomulco de Zuniga",2.75,1.28,6.54
"100 Loma Ancha,  Fraccionamiento Bosque Real, Tlajomulco de Zuniga",0.56,0.4,11.57
"20 CHULAVISTA,  Tlajomulco de Zuniga, Jalisco",1.65,0.49,9.52
"Morelos 950, Residencial San Miguel, 45650 Hacienda San Miguel, Jal. al 900,  Tlajomulco de Zuniga, Jalisco",0.57,2.83,7.84
"Casa Fuerte 1,  Fraccionamiento El Alcazar (Casa Fuerte), Tlajomulco de Zuniga",1.37,1.08,7.47
"41 Avenida Canario,  Balcones de La Calera, Tlajomulco de Zuniga",0.16,,19.15
