url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/la-calma/casa-en-venta-en-la-calma-zapopan-jalisco/146584901,"Casa en Venta en La Calma, Zapopan Jalisco","ventaMN 10,150,000",225²,290²,2,,2,3,41,"20°38'21.8""N 103°24'46.7""W,  La Calma, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-en-valle-imperial-zapopan-jalisco/142043180,Casa en Venta en Valle Imperial Zapopan Jalisco,"ventaMN 4,450,000",115²,192²,3,2,2,4,,"Coto Galarza 236,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/chapalita-inn/casa-en-renta-chapalita-inn/26040835,Casa en Renta Chapalita Inn,"ventaMN 3,500,000",130²,90²,2,,2,3,8,"FRIDA KAHLO 41,  Chapalita Inn, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/bosques-vallarta/venta-de-casa-en-parques-vallarta/146377067,Venta de Casa en Parques Vallarta,"ventaMN 7,500,000",186²,254²,3,2,2,2,,"CALLE DEL BOSQUE 1545,  Bosques Vallarta, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-la-cima/casa-150-la-cima-zapopan-sobre-av/141968256,"Casa #150 La Cima Zapopan, Sobre Av","ventaMN 8,950,000",210²,350²,4,,3,4,,"av jarales ,  Fraccionamiento La Cima, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-campo-real/campo-real-zapopan-jalisco-c-p-45134-none-1517/146605906,"Campo Real, Zapopan, Jalisco, C. P. 45134, None 1517","ventaMN 1,849,000",90²,86²,3,,1,3,1,"campo castillo 1517, campo real, zapopan, jalisco, c.p. 45134,  Fraccionamiento Campo Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-granja/casa-en-ciudad-granja-en-exclusivo-coto-las-nubes-disfruta-tu-hogar-de-3-habitaciones-25-banos-y/146548617,"Casa en Ciudad Granja, en Exclusivo Coto Las Nubes. Disfruta Tu Hogar de 3 Habitaciones 2.5 Baños y","ventaMN 5,200,000",117²,180²,2,1,2,3,,"Las Nubes,  Ciudad Granja, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-lista-para-estrenar-en-solares/146356264,Casa Lista Para Estrenar en Solares,"ventaMN 8,600,000",152²,207²,4,,2,3,,"Paseo Solares 2237,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-colli-urbano/bonita-casa-con-buena-ubicacion/146496196,Bonita Casa con Buena Ubicación.,"ventaMN 4,980,000",99²,135²,3,1,2,3,19,"Volcan Tancitaro 2236,  El Colli Urbano, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/estrena-casa-con-terraza-y-estudio-en-coto-castano-en-valle-imperial/146372393,Estrena Casa con Terraza y Estudio en Coto Castaño en Valle Imperial,"ventaMN 5,850,000",149²,206²,3,2,2,3,,"Calle Palmira, Bv. Valle Imperial 1236, 45134 Zapopan, Jal,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/valle-real/casa-en-venta-en-valle-real-en-coto-versalles-con-alberca-y-gran-jardin/144207507,Casa en Venta en Valle Real en Coto Versalles con Alberca y Gran Jardin.,"ventaMN 49,500,000",901²,938²,6,5,4,4,20,"san arturo versalles,  Valle Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-capital-norte-valle-imperial-zapopan-jalisco/141916693,"Casa en Venta, Capital Norte, Valle Imperial, Zapopan, Jalisco","ventaMN 4,750,000",115²,186²,2,1,2,3,,"avenida de la cantera 406,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/valle-real/residencia-de-lujo-en-parques-vallarta/146003919,Residencia de Lujo en Parques Vallarta,"ventaMN 8,990,000",165²,260²,4,,3,3,3,"P.º de la Estrella 3555, Parques Vallarta,  Valle Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-venta-en-solares-coto-privanza-habitat-zapopan-jalisco/147096134,"Casa en Venta en Solares, Coto Privanza Habitat, Zapopan, Jalisco","ventaMN 9,088,900",31²,98²,3,1,,3,,"Privanza Senda #19 - 17 esq. con Entre Paseo Solares y Ramón,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/valle-real/casa-en-venta-de-lujo-a-un-costado-del-tec-de-monterrey/147055786,Casa en Venta de Lujo a un Costado del Tec de Monterrey,"ventaMN 21,500,000",840²,540²,5,1,6,4,10,"General Ramón Corona 1100,  Valle Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-nueva-en-venta-dentro-de-coto-egipcio-en-valle-imperial/146695133,Casa Nueva en Venta Dentro de Coto Egipcio en Valle Imperial,"ventaMN 7,350,000",180²,227²,3,1,2,3,,"Coto Egipcio 247,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-en-venta-santillana-zona-real-zapopan-jalisco/145698000,"Casa en Venta Santillana Zona Real, Zapopan, Jalisco","ventaMN 6,750,000",133²,204²,3,1,2,3,4,"Coto 2 santillana C11,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/unidad-habitacional-parques-del-auditorio/casa-en-venta-por-las-fiestas-de-octubre-guadalajara/145854930,Casa en Venta por Las Fiestas de Octubre Guadalajara.,"ventaMN 2,200,000",142²,126²,1,,,4,35,"Gómez Farías,  Unidad habitacional Parques del Auditorio, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/paraisos-del-colli/casa-venta-paraisos-del-colli/143366369,Casa Venta Paraisos del Colli,"ventaMN 2,500,000",141²,224²,4,,1,7,25,"nispero 1332,  Paraísos Del Colli, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-venta-privada-escorial-valle-imperial/146039669,"Casa en Venta Privada Escorial, Valle Imperial","ventaMN 5,990,000",209²,155²,3,,2,3,9,"Priv. Escorial 95, fraccionamiento valle imperial, zapopan jalisco,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-pinar-de-la-venta/casa-en-venta-pinar-de-la-venta/145234364,Casa en Venta Pinar de La Venta,"ventaMN 12,000,000",324²,1500²,4,3,3,3,13,"Paseo de los barcinos,  Fraccionamiento Pinar de La Venta, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-viveros-del-valle/casa-en-remate-bancario-en-jardines-del-valle-en-zapopan-jalisco/146128078,Casa en Remate Bancario en Jardines del Valle en Zapopan Jalisco,"ventaMN 939,000",110²,90²,2,,2,2,20,"AV ACUEDUCTO,  Fraccionamiento Viveros del Valle, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan-centro/casa-en-remate-coto-alambra-en-zapopan-jalisco/145753125,Casa en Remate Coto Alambra en Zapopan Jalisco,"ventaMN 880,000",96²,109²,2,1,2,3,7,"Condominio Alhambra, Zapopan Jalisco,  Zapopan Centro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-la-cima/casa-nueva-251-g-con-roof-garden-en-la-cima-de-zapopan/142038551,"Casa Nueva 251 - G con Roof Garden, en La Cima de Zapopan","ventaMN 8,600,000",140²,215²,5,,3,4,,"av la cima,  Fraccionamiento La Cima, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-fortin/casa-en-venta-en-el-fortin-zapopan-jalisco/145432416,"Casa en Venta en El Fortín, Zapopan, Jalisco","ventaMN 2,999,000",142²,143²,2,1,2,3,9,"GUARDIA NACIONAL,  El Fortín, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/nuevo-mexico/casa-en-venta-en-capital-norte/145467534,Casa en Venta en Capital Norte,"ventaMN 4,740,000",116²,198²,3,1,2,3,,"Capital Norte,  Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/natura-bosque-residencial/bonita-casa-en-venta-en-natura-residencial/146187216,Bonita Casa en Venta en Natura Residencial,"ventaMN 4,200,000",111²,180²,3,1,2,4,7,"AVENIDA PASEO NATURA 40,  Natura Bosque Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/altavista-residencial/hermosa-casa-en-venta-vitana-residencial-zapopan-norte/145683041,"Hermosa Casa en Venta Vitana Residencial, Zapopan Norte","ventaMN 5,390,000",183²,105²,4,,2,4,4,"Altavista Poniente 303,  Altavista Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/nuevo-mexico/casa-en-venta-residencial-magnolias-col-nuevo-mexico-zapopan/146563271,Casa en Venta Residencial Magnolias Col. Nuevo México Zapopan,"ventaMN 2,900,000",111²,103²,3,,2,4,8,"av juan gil preciado no. 6507,  Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/casa-en-venta-en-solares-en-coto/146449252,"Casa en Venta en Solares, (En Coto)","ventaMN 6,190,000",170²,136²,3,,3,4,8,"Blvrd Asturias  residencial Santillana,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/paraisos-del-colli/casa-en-venta-en-paraisos-del-colli/146238308,Casa en Venta en Paraísos del Colli,"ventaMN 2,500,000",132²,119²,1,,1,3,,"Sabino,  Paraísos Del Colli, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/natura-bosque-residencial/casa-en-remate-fraccionamiento-natura-en-zapopan-jalisco/145722794,Casa en Remate Fraccionamiento Natura en Zapopan Jalisco,"ventaMN 1,644,000",78²,113²,2,1,2,3,3,"Paseo Amalfi, Fraccionamiento Natura,  Natura Bosque Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan/casa-en-venta-en-puerta-las-lomas-zapopan-jal/146852443,"Casa en Venta en Puerta Las Lomas, Zapopan, Jal","ventaMN 35,095,999",586²,700²,6,2,4,6,,"Av. Universidad 2662, Fracc. Puerta Las Lomas, 45110 Zapopan, Jal.,  Zapopan, Jalisco"
https://www.vivanuncios.com.mx/a-venta-casa/bosques-vallarta/casa-en-venta-en-parques-vallarta/142661562,Casa en Venta en Parques Vallarta,"ventaMN 6,890,000",165²,238²,3,1,2,3,,"Av. Paseo del Nte. , Bosques Vallarta, Zapopan,  Bosques Vallarta, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/nuevo-mexico/casa-en-venta-en-conjunto-villas-del-valle-a-un-costado-del-club-de-golf-valle-imperial/147116420,Casa en Venta en Conjunto Villas del Valle a un Costado del Club de Golf Valle Imperial,"ventaMN 658,000",90²,90²,1,,1,2,10,"Valle Escondido 29,  Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/colomos-patria/residencia-de-lujo-en-venta-en-zotogrande-seguridad-exclusividad-y-diseno-vanguardista/145955442,"Residencia de Lujo en Venta en Zotogrande - Seguridad, Exclusividad y Diseño Vanguardista","ventaMN 57,000,000",1005²,930²,6,,10,5,5,"Av. Acueducto,  Colomos Patria, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/casa-en-bugambilias-en-coto-primera-seccion-4-recamaras-4-autos-terraza/146634316,Casa en Bugambilias en Coto Primera Sección 4 Recamaras 4 Autos Terraza,"ventaMN 8,450,000",520²,340²,4,1,4,4,25,"Lorenzo Barcelata,  Fraccionamiento Bugambilias, Zapopan"
