url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-puerta-las-lomas/casa-en-venta-en-fraccionamiento-puerta-las-lomas/146780092,Casa en Venta en Fraccionamiento Puerta Las Lomas,"ventaMN 24,000,000",368²,451²,3,1,4,3,,"-,  Fraccionamiento Puerta Las Lomas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-de-los-ninos/casa-en-venta-en-ciudad-de-los-ninos-zapopan-jalisco/144357878,"Casa en Venta en Ciudad de Los Niños, Zapopan, jalisco","ventaMN 23,950,000",703²,365²,2,1,4,3,37,"Av. Parque Juan Diego ,  Ciudad de los niños, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/casa-azaleas-en-venta-bugambilias/143072235,"Casa Azaleas en Venta, Bugambilias.","ventaMN 35,000,000",650²,1125²,3,1,8,3,19,"calle Cerezo,  Fraccionamiento Bugambilias, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-puerta-las-lomas/increible-casa-en-venta-en-puerta-las-lomas/144341848,Increíble Casa en Venta en Puerta Las Lomas,"ventaMN 30,500,000",690²,640²,4,,9,4,2,"Av. Universidad 2662,,  Fraccionamiento Puerta Las Lomas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/la-florida/casa-en-venta-en-la-florida-zona-sur-gdl/146925721,"Casa en Venta en La Florida, Zona Sur. Gdl","ventaMN 3,050,000",74²,134²,2,1,2,3,10,"Privada Bugambilias #1087,  La Florida, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/jardines-de-la-patria/casa-en-venta-en-jardines-de-la-patria-zapopan-jalisco/146649617,"Casa en Venta en Jardines de La Patria, Zapopan Jalisco","ventaMN 8,790,000",170²,257²,3,1,2,3,15,"Honorato Balzac #215,  Jardines de La Patria, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-bugambilias/casa-en-venta-bugambilias-coto-primera-seccion-4-recamaras-4-estacionamientos/146578229,Casa en Venta Bugambilias Coto Primera Sección 4 Recamaras 4 Estacionamientos,"ventaMN 8,450,000",520²,340²,4,1,4,4,22,"Lorenzo Barcelata,  Fraccionamiento Bugambilias, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/loma-bonita-ejidal/bonita-casa-en-venta-cercana-a-av-18-de-marzo-en-col-loma-bonita/147037606,Bonita Casa en Venta Cercana a Av 18 de Marzo en Col. Loma Bonita.,"ventaMN 3,900,000",157²,200²,2,1,1,2,13,"Río Tequila,  Loma Bonita Ejidal, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/paseos-del-sol/paseos-del-sol-casa-en-coto/146278880,Paseos del Sol - Casa en Coto,"ventaMN 3,990,000",83²,106²,2,,2,3,25,"VOLCAN COTOPAXI  2280,  Paseos del Sol, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-valle-imperial/casa-en-los-primeros-cotos-de-valle-imperial/142004482,Casa en Los Primeros Cotos de Valle Imperial,"ventaMN 4,600,000",135²,170²,3,3,2,3,,"valle imperial,  Fraccionamiento Valle Imperial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/chapalita-inn/hermosa-casa-en-veta-en-la-colonia-chapalita/145156642,Hermosa Casa en Veta en La Colonia Chapalita,"ventaMN 7,400,000",,340²,3,,3,6,5,"CHAPALITA,  Chapalita Inn, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/12-de-diciembre/casa-en-venta-en-arboledas-zapopan-jalisco/146471299,"Casa en Venta en Arboledas, Zapopan, Jalisco","ventaMN 11,500,000",,,,,,,,"Claudio Ptolomeo,  12 de Diciembre, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-parques-de-tesistan/casa-en-venta-en-parques-de-tesistan/146059285,Casa en Venta en Parques de Tesistan,"ventaMN 2,150,000",90²,200²,3,,2,5,15,"san mateo 1635,  Fraccionamiento Parques de Tesistán, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/zapopan-centro/casa-en-venta-en-cto-monarquia-sueca-zapopan-jalisco/147057673,"Casa en Venta en Cto. Monarquía Sueca, Zapopan, Jalisco","ventaMN 720,000",90²,150²,2,,2,3,10,"Cto. Monarquia Sueca, Zapopan, Jalisco,  Zapopan Centro, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/las-canadas/residencia-en-venta-en-fracc-las-canadas-country-club-zapopan-jal/146385455,"Residencia en Venta en Fracc. Las Cañadas Country Club Zapopan, Jal.","ventaMN 12,500,000",874²,380²,2,,10,2,5,"Bosques de los Colomos 21,  Las Cañadas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/pinar-de-la-calma/hermosa-y-amplia-casa-en-venta-en-pinar-de-la-calma/143284782,Hermosa y Amplia Casa en Venta en Pinar de La Calma.,"ventaMN 7,250,000",210²,274²,3,,2,4,3,"Calle Copilco 5984,  Pinar de La Calma, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/las-fuentes/casa-en-venta-la-sabinera-las-fuentes/142753119,Casa en Venta La Sabinera Las Fuentes,"ventaMN 18,200,000",403²,325²,3,,4,3,,"circunvalacion norte 4350,  Las Fuentes, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/lomas-de-zapopan/oportunidad-remato-casa-en-lomas-de-zapopan/144894481,Oportunidad Remato Casa en Lomas de Zapopan,"ventaMN 557,000",180²,180²,2,,2,3,1,"Campo Real 339,  Lomas de Zapopan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/lomas-de-zapopan/casa-en-venta-en-lomas-de-zapopan/146838347,Casa en Venta en Lomas de Zapopan,"ventaMN 4,500,000",140²,210²,1,1,2,3,19,"Covandonga,  Lomas de Zapopan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-fortin/venta-de-casa-en-zapopan-luna-bosques-prolongacion-mariano-otero/146606458,Venta de Casa en Zapopan Luna Bosques (Prolongacion Mariano Otero),"ventaMN 2,490,000",94²,86²,2,,2,2,13,"GALEANA  ,  El Fortín, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/paseos-universidad/casa-en-venta-en-paseos-universidad-zapopan-jalisco/146576332,"Casa en Venta en Paseos Universidad, Zapopan Jalisco","ventaMN 5,149,000",155²,149²,2,1,2,3,30,"Brisa,  Paseos Universidad, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/san-juan-de-ocotan/casa-en-venta-solares-2-zapopan/145818523,"Casa en Venta Solares 2, Zapopan","ventaMN 8,975,000",137²,232²,5,,,3,,"Av paseo del anochecer,  San Juan de Ocotan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-parques-de-tesistan/casa-en-venta-en-parques-de-tesistan/146935765,Casa en Venta en Parques de Tesistán,"ventaMN 1,870,000",80²,120²,2,,2,2,,"Av. Rio blanco sur 1511 - 218,  Fraccionamiento Parques de Tesistán, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/la-calma/casa-en-venta-colonia-la-calma-por-remate-excelente-oportunidad/145526552,"Casa en Venta Colonia La Calma por Remate, Excelente Oportunidad!","ventaMN 490,000",245²,205²,2,1,2,3,25,"C. ANDROMEDA,  La Calma, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/nuevo-mexico/casa-en-coto-los-cerezos-en-zapopan-norte/146240703,Casa en Coto Los Cerezos en Zapopan Norte,"ventaMN 4,300,000",115²,115²,2,1,,3,,"avenida guadalajara ,  Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/villa-universitaria/casa-en-venta-en-villa-universitaria/146240116,Casa en Venta en Villa Universitaria,"ventaMN 12,500,000",,,,,,,,"Callejon de los Mosqueteros,  Villa Universitaria, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/pinar-de-la-calma/casa-ideal-para-oficinas-o-casa-habitacion-en-pinar-de-la-calma/144385694,Casa Ideal Para Oficinas o Casa Habitación en Pinar de La Calma,"ventaMN 7,090,000",264²,252²,1,3,6,,8,"Avenida del Pinar 2824,  Pinar de La Calma, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/puertas-del-tule/casa-en-venta-av-del-tule/146912546,Casa en Venta Av del Tule,"ventaMN 12,400,000",398²,383²,4,,4,3,35,"av del tule ,  Puertas Del Tule, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/el-fortin/-casa-en-remate-bancario-adjudicada-en-el-fortin-lista-para-entrega/146371575,¡Casa en Remate Bancario Adjudicada en El Fortín – Lista Para Entrega!,"ventaMN 3,624,250",194²,194²,2,1,3,3,7,"Juan Escutia 3361,  El Fortín, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/tabachines/casa-1218-sobre-av-tabachines-zapopan/146279712,"Casa 1218 Sobre Av, Tabachines, Zapopan","ventaMN 4,990,000",126²,243²,2,,2,5,,"Av. Tabachines,  Tabachines, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-bugambilia/casa-en-venta-en-bosques-de-bugambilias-zapopan-con-excelente-precio/146674054,"Casa en Venta en Bosques de Bugambilias, Zapopan con Excelente Precio.","ventaMN 18,400,999",800²,400²,4,1,2,4,,"Segunda Sección,  Ciudad Bugambilia, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/residencial-flores-del-valle/casa-en-venta-zapopan-jalisco/147045352,Casa en Venta Zapopan Jalisco,"ventaMN 859,700",105²,140²,2,,2,3,10,"PASEO DE SAN FELIPE,  Residencial Flores del Valle, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/tuzania/casa-en-venta-cercana-a-av-santa-margaria-zapopan-jal/144059190,"Casa en Venta Cercana a Av Santa Margaria, Zapopan Jal.","ventaMN 1,900,000",80²,110²,1,,,3,1,"AV. DE LAS PALMAS,  Tuzania, Zapopan"
