url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/virreyes-residencial/casa-en-venta-en-coto-bristol/146302773,Casa en Venta en Coto Bristol,"ventaMN 11,900,000",273²,328²,3,,2,3,,"Bristol 46,  Virreyes Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/valle-real/residencia-de-lujo-en-venta-en-valle-real/146972119,Residencia de Lujo en Venta en Valle Real,"ventaMN 28,900,000",610²,810²,5,2,6,4,7,"Coto Almendros,  Valle Real, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-granja/casa-en-venta-rinconada-del-paraiso/146304926,Casa en Venta Rinconada del Paraíso,"ventaMN 3,600,000",144²,90²,1,,1,2,25,"Rinconada del Paraíso,  Ciudad Granja, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-puerta-del-bosque/casa-en-puerta-del-bosque/146192051,Casa en Puerta del Bosque,"ventaMN 34,000,000",358²,520²,3,1,2,3,7,"av universidad,  Fraccionamiento Puerta del Bosque, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-coto-miraflores/casa-en-venta-los-suenos-fraccionamiento/144391887,"Casa en Venta, Los Sueños Fraccionamiento","ventaMN 19,400,000",440²,400²,4,1,4,3,1,"Av. Vallarta Eje Poniente 2701,  Fraccionamiento Coto Miraflores, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-villa-verona/casa-en-venta-en-villa-verona-zapopan-con-excelente-precio/147072890,"Casa en Venta en Villa Verona, Zapopan con Excelente Precio.","ventaMN 19,750,999",305²,400²,5,1,4,5,,"Villa Verona,  Fraccionamiento Villa Verona, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-solares/propiedad-en-venta-en-solares-totalmente-nueva/146492445,"Propiedad en Venta en Solares, Totalmente Nueva","ventaMN 8,145,000",195²,144²,3,1,2,3,,"Paseo del Anochecer,  Fraccionamiento Solares, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/las-canadas/las-canadas-casa-en-venta-con-hermosa-vista-a-3-min-del-colegio/146075971,Las Cañadas Casa en Venta con Hermosa Vista a 3 Min del Colegio,"ventaMN 15,500,000",2593²,700²,4,2,10,4,14,"Bosques de la Cascada,  Las Cañadas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/nuevo-mexico/casa-venta-zona-valle-imperial/146508150,Casa Venta Zona Valle Imperial,"ventaMN 3,429,060",93²,114²,3,,2,3,,"Paseo Abié 440, nuevo México,  Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-real-de-valdepenas/casa-en-venta-en-nouve-residencial/145513989,Casa en Venta en Nouve Residencial,"ventaMN 3,950,000",80²,130²,3,1,2,3,,"Talavera Poniente,  Fraccionamiento Real de Valdepeñas, Zapopan"
