url,titulo,precio,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad,direccion
https://www.vivanuncios.com.mx/a-venta-casa/ciudad-bugambilia/casa-en-venta-en-bugambilias-oportunidad-zapopan/143385005,Casa en Venta en Bugambilias Oportunidad Zapopan,"ventaMN 16,000,000",1158²,1019²,7,2,10,3,18,"Av. del Reno,  Ciudad Bugambilia, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/arenales-tapatios/casa-en-arenales-tapatios/146606435,Casa en Arenales Tapatíos,"ventaMN 4,899,000",200²,395²,9,,,9,25,"Platino  al 2500,  Arenales Tapatíos, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/arcos-de-zapopan/se-vende-casa-en-arcos-de-zapoapn/145164754,Se Vende Casa en Arcos de Zapoapn,"ventaMN 2,150,000",90²,90²,1,,1,3,10,"Arcos De Alejandro a,  Arcos de Zapopan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/las-canadas/casa-en-venta-en-zapopan-jalisco--las-canadas-country-club/142362624,Casa en Venta en Zapopan Jalisco; Las Cañadas Country Club,"ventaMN 9,600,000",750²,312²,3,1,3,3,24,"LAS CAÑADAS,  Las Cañadas, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/virreyes-residencial/residencia-en-venta-en-virreyes-residencial-coto-2/146597724,Residencia en Venta en Virreyes Residencial Coto 2,"ventaMN 9,990,000",400²,275²,5,,2,4,20,"AV. NACIONES UNIDAD ,  Virreyes Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/virreyes-residencial/casa-en-venta-en-virreyes-zapopan-guadalajara/144727785,"Casa en Venta en Virreyes, Zapopan, Guadalajara","ventaMN 14,900,000",384²,323²,4,1,4,4,20,"paseo de los virreyes,  Virreyes Residencial, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/hogares-de-nuevo-mexico/casa-de-uso-comercial-en-venta-en-hogares-de-nuevo-mexico/145365182,Casa de Uso Comercial en Venta en Hogares de Nuevo México,"ventaMN 5,990,000",225²,200²,3,2,,5,11,"Avenida Guadalajara 2879,  Hogares de Nuevo México, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/12-de-diciembre/casa-en-venta-en-puerta-las-lomas-con-vista-panoramica/145926352,Casa en Venta en Puerta Las Lomas con Vista Panoramica,"ventaMN 39,990,000",399²,740²,6,2,5,4,,"av universidad,  12 de Diciembre, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/lomas-de-zapopan/casa-en-venta-en-zapopan/146743516,Casa en Venta en Zapopan,"ventaMN 5,350,000",152²,137²,2,,1,3,26,"Calle Torremolinos , colonia fraccionamiento Lomas de Zapopan,  Lomas de Zapopan, Zapopan"
https://www.vivanuncios.com.mx/a-venta-casa/jardines-del-valle/-casa-en-remate-bancario-en-jardines-del-valle-zapopan/146329253,"¡Casa en Remate Bancario en Jardines del Valle, Zapopan!","ventaMN 1,009,000",95²,95²,2,,1,3,30,"Av. Acueducto 2424, Jardines del Valle, 45138 Zapopan, Jal.,  Jardines del Valle, Zapopan"
