url,titulo,precio,direccion,m2_lote,banos,estacionamientos,recamaras,municipio,jardin
https://www.vivanuncios.com.mx/a-venta-casa/vallarta-poniente/chapala-80-vallarta-poniente/146461892,"Chapala 80, Vallarta Poniente",9500000,"Chapala 80,  Vallarta Poniente, Guadalajara",166,4.0,2.0,4.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/arcos-vallarta/casa-o-terreno-en-venta-en-colonia-vallarta-guadalajara-ideal-para-hacer-edificio/146329847,"Casa o Terreno en Venta en Colonia Vallarta, Guadalajara Ideal Para Hacer Edificio",11000000,"Benjamin Romero 18,  Arcos Vallarta, Guadalajara",402,2.0,4.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/independencia/casa-independencia-renovada/146921168,"Casa Independencia, Renovada",4950000,"SIERRA LEONA 1944,  Independencia, Guadalajara",167,2.0,2.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-del-country/casa-renovada-con-espacios-amplios-jardin-con-alberca-y-roof-garden/146306341,"Casa Renovada con Espacios Amplios, Jardín con Alberca y Roof Garden",7400000,"Lago de Catemaco 2258,  Fraccionamiento Jardines Del Country, Guadalajara",230,5.0,2.0,4.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/atlas/casa-en-venta/146166750,Casa en Venta,3700000,"Rio Zapotlanejo 1360,  Atlas, Guadalajara",154,2.0,3.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/circunvalacion-belisario/casa-en-venta-remodelada-por-la-monumental-guadalajara/147022349,"Casa en Venta Remodelada por La Monumental, Guadalajara.",3080000,"Calle Puerto Soto La Marina 1784,  Circunvalacion Belisario, Guadalajara",75,2.0,1.0,2.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-alcalde/casa-en-venta-cerca-del-parque-amarillo-jardines-alcalde/145615820,Casa en Venta Cerca del Parque Amarillo Jardines Alcalde,6100000,"Calle Jose Ignacio Solorzano 612,  Fraccionamiento Jardines Alcalde, Guadalajara",301,3.0,3.0,4.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/jardines-del-bosque/se-vende-casa-en-jardines-del-bosque/146638697,Se Vende Casa en Jardines del Bosque,6780000,"Tormenta 847,  Jardines del Bosque, Guadalajara",224,3.0,2.0,2.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/independencia/casa-en-venta-colonia-independencia-con-recamara-abajo-o-estudio-por-el-estadio/146313975,"Casa en Venta Colonia Independencia con Recámara Abajo o Estudio, por El Estadio",5000000,"A UNAS CUADRAS DEL ESTADIO Calle Siete Colinas 1772, Colonia Independencia, Guadalajara, Jalisco, Mexico,  Independencia, Guadalajara",161,2.0,2.0,4.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-de-los-historiadores/casa-en-venta-en-guadalajara-jalisco-jardines-de-los-historiadores/146960861,"Casa en Venta en Guadalajara, Jalisco (Jardines de Los Historiadores)",6290000,"Calle Jose Martinez Sotomayor 896,  Fraccionamiento Jardines de los Historiadores, Guadalajara",156,3.0,3.0,4.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-en-venta-en-la-colonia-americana/147026659,Casa en Venta en La Colonia Americana,18900000,"Avenida la Paz 2316,  Americana, Guadalajara",356,1.0,3.0,6.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/colonia-huentitan-el-alto/casa-en-venta-en-providencia/146021757,Casa en Venta en Providencia,15000000,"Antofagasta 2219,  Colonia Huentitan El Alto, Guadalajara",483,5.0,5.0,5.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-de-3-recamaras-junto-a-calle-libertad/146645673,Casa de 3 Recamaras Junto a Calle Libertad,9500000,"Argentina 370,  Americana, Guadalajara",151,2.0,1.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/americana/oportunidad-casa-en-venta-col-americana/142698472,Oportunidad! Casa en Venta Col. Americana.,10499000,"Mexicaltzingo 1957,  Americana, Guadalajara",327,3.0,4.0,8.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-colomos-providencia/casa-en-venta-en-colomos-providencia-guadalajara-jal/146826536,"Casa en Venta en Colomos Providencia, Guadalajara Jal.",12750000,"La Guaira  al 2900,  Fraccionamiento Colomos Providencia, Guadalajara",213,2.0,2.0,3.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/chapalita/propiedad-excelente-ubicacion-en-chapalita/143146503,Propiedad Excelente Ubicación en Chapalita,11250000,"Capuchinas 2961, Col. Chapalita, Guadalajara, Jalisco,  Chapalita, Guadalajara",384,2.0,2.0,3.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/8-de-julio/uso-multiple-gobernador-curiel-y-lazaro-cardenas/146149130,"Uso Múltiple, Gobernador Curiel y Lázaro Cárdenas",5500000,"ZENZONTLE 789,  8 de Julio , Guadalajara",226,5.0,1.0,10.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-lomas-del-country/casa-en-venta-mar-negro/144829719,Casa en Venta Mar Negro,13000000,"Mar Negro 1416,  Fraccionamiento Lomas Del Country, Guadalajara",521,4.0,2.0,4.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/unidad-habitacional-plutarco-elias-calles/casa-en-venta-en-col-plutarco-elias-calles/146588993,Casa en Venta en Col. Plutarco Elías Calles,2200000,"Hda. La Candelaria 2284,  Unidad habitacional Plutarco Elias Calles , Guadalajara",64,1.0,1.0,2.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/bosques-de-la-victoria/hermosa-casa-en-venta-en-bosques-de-la-victoria/146678864,Hermosa Casa en Venta en Bosques de La Victoria,8350000,"isla cleofas 2385,  Bosques de La Victoria, Guadalajara",202,7.0,2.0,6.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/jardines-del-bosque/casas-en-preventa-en-jardines-del-bosque-guadalajara/144347785,Casas en Preventa en Jardines del Bosque Guadalajara,8597100,"CALLE LA LUNA 2863,  Jardines del Bosque, Guadalajara",205,2.0,2.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/circunvalacion-belisario/casa-en-venta-remodelada-por-la-monumental-guadalajara/147040395,"Casa en Venta Remodelada por La Monumental, Guadalajara.",3080000,"puerto soto la marina 1784,  Circunvalacion Belisario, Guadalajara",75,2.0,1.0,2.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/jardines-el-sauz/venta-de-casa-en-jardines-del-sauz-guadalajara/146997441,Venta de Casa en Jardines del Sauz Guadalajara,428303,"Av Jaime Torres Bodet 3224,  Jardines El Sauz, Guadalajara",70,1.0,1.0,3.0,guadalajara,True
